StockCode,weekly_demand,forecast_error,ABC,XYZ,class,revenue,ROP_1w_90%,ROP_1w_95%,ROP_1w_99%,ROP_2w_90%,ROP_2w_95%,ROP_2w_99%,ROP_3w_90%,ROP_3w_95%,ROP_3w_99%,ROP_4w_90%,ROP_4w_95%,ROP_4w_99%
21843,58.56989247311828,30.728027493546026,A,Y,AY,65189.95,98.0,109.0,130.0,173.0,189.0,218.0,244.0,264.0,300.0,313.0,336.0,377.0
21931,274.19354838709677,81.20479059842101,A,X,AX,61565.11,378.0,408.0,463.0,695.0,738.0,816.0,1003.0,1055.0,1150.0,1305.0,1365.0,1475.0
22502,40.54838709677419,4.2011704728977515,A,Y,AY,60924.5,46.0,47.0,50.0,89.0,91.0,95.0,131.0,134.0,139.0,173.0,176.0,182.0
21621,70.65591397849462,19.538981291094665,A,Y,AY,60405.04,96.0,103.0,116.0,177.0,187.0,206.0,255.0,268.0,291.0,333.0,347.0,374.0
15056N,115.20430107526882,51.44336706014356,A,Y,AY,60169.65,181.0,200.0,235.0,324.0,350.0,400.0,460.0,493.0,553.0,593.0,631.0,701.0
22114,80.36559139784946,190.59348642858083,A,Y,AY,59328.740000000005,324.0,395.0,524.0,506.0,605.0,789.0,664.0,786.0,1010.0,809.0,950.0,1210.0
85099C,288.494623655914,125.57734074420601,A,X,AX,59292.54,449.0,496.0,581.0,804.0,870.0,991.0,1144.0,1224.0,1372.0,1475.0,1568.0,1739.0
22910,117.3763440860215,433.86749315236125,A,Z,AZ,58696.95,673.0,833.0,1128.0,1020.0,1247.0,1664.0,1314.0,1592.0,2103.0,1580.0,1901.0,2491.0
22112,81.05376344086021,128.5610721535097,A,Y,AY,58090.84,246.0,293.0,381.0,395.0,462.0,586.0,528.0,611.0,762.0,653.0,748.0,923.0
22411,249.90322580645162,131.90658476456989,A,X,AX,57440.91,419.0,468.0,557.0,739.0,808.0,934.0,1042.0,1127.0,1282.0,1337.0,1435.0,1614.0
82484,93.47311827956989,69.54261716714967,A,Z,AZ,56809.03,182.0,208.0,256.0,313.0,349.0,416.0,435.0,479.0,561.0,552.0,603.0,698.0
22470,154.09677419354838,184.2521229428632,A,Y,AY,53632.98,390.0,458.0,583.0,642.0,738.0,915.0,871.0,989.0,1206.0,1088.0,1224.0,1475.0
22139,94.19354838709677,81.19866419379773,A,Y,AY,52971.71,198.0,228.0,283.0,335.0,378.0,456.0,463.0,515.0,610.0,585.0,645.0,755.0
22178,358.8279569892473,271.0211011177626,A,Y,AY,52607.72,706.0,806.0,990.0,1208.0,1350.0,1611.0,1677.0,1851.0,2170.0,2129.0,2330.0,2698.0
20914,183.55913978494624,48.791733929175024,A,X,AX,52588.21,246.0,264.0,297.0,455.0,481.0,528.0,659.0,690.0,748.0,859.0,895.0,962.0
21212,940.6236559139785,256.8480440980417,A,X,AX,51873.55,1269.0,1364.0,1539.0,2346.0,2481.0,2728.0,3391.0,3556.0,3858.0,4420.0,4610.0,4959.0
21733,158.752688172043,149.07973061388267,A,Y,AY,50461.54,350.0,405.0,506.0,587.0,665.0,809.0,807.0,902.0,1078.0,1017.0,1127.0,1330.0
22090,169.40860215053763,58.96088723671218,A,Y,AY,50461.4,245.0,267.0,307.0,446.0,476.0,533.0,639.0,677.0,746.0,829.0,872.0,952.0
21181,215.23655913978496,283.52841920269475,A,Y,AY,50299.84,578.0,683.0,876.0,944.0,1092.0,1365.0,1274.0,1456.0,1790.0,1587.0,1797.0,2182.0
22111,75.70967741935483,116.72294198043731,A,Y,AY,50007.59,225.0,268.0,348.0,363.0,424.0,536.0,486.0,561.0,698.0,602.0,688.0,847.0
21929,251.5483870967742,135.46449773350486,A,Y,AY,49685.27,425.0,475.0,567.0,748.0,819.0,949.0,1055.0,1142.0,1301.0,1353.0,1453.0,1637.0
21232,368.8709677419355,135.55193991617824,A,X,AX,49400.57,542.0,593.0,685.0,983.0,1054.0,1184.0,1407.0,1494.0,1654.0,1822.0,1923.0,2107.0
84946,323.21505376344084,281.6120329582957,A,X,AX,49391.65,684.0,788.0,979.0,1156.0,1304.0,1574.0,1594.0,1774.0,2106.0,2014.0,2222.0,2605.0
22189,157.23655913978496,118.97345639725826,A,Z,AZ,49344.39,310.0,354.0,434.0,530.0,592.0,707.0,735.0,812.0,952.0,934.0,1022.0,1183.0
15056BL,93.84946236559139,40.34456234975282,A,Z,AZ,48997.47,145.0,160.0,188.0,261.0,282.0,321.0,371.0,397.0,444.0,479.0,509.0,563.0
22469,240.74193548387098,260.3829043206988,A,Y,AY,48974.71,574.0,670.0,847.0,953.0,1089.0,1339.0,1300.0,1466.0,1773.0,1630.0,1822.0,2176.0
48194,72.41935483870968,77.07196873631126,A,Y,AY,48817.38,171.0,200.0,252.0,284.0,325.0,399.0,388.0,438.0,528.0,487.0,544.0,649.0
21731,264.505376344086,140.1911024281513,A,Y,AY,48347.19,444.0,496.0,591.0,783.0,856.0,991.0,1104.0,1194.0,1359.0,1417.0,1521.0,1711.0
22457,135.09677419354838,86.11417897199838,A,Y,AY,47536.030000000006,245.0,277.0,336.0,426.0,471.0,554.0,596.0,651.0,753.0,761.0,825.0,942.0
82494L,142.69892473118279,63.74020648779894,A,X,AX,47061.490000000005,224.0,248.0,291.0,401.0,434.0,495.0,569.0,610.0,685.0,734.0,781.0,868.0
21754,76.20430107526882,12.50723030048462,A,X,AX,46821.94,92.0,97.0,105.0,175.0,182.0,194.0,256.0,264.0,279.0,337.0,346.0,363.0
48187,66.89247311827957,74.57405680093166,A,Y,AY,46643.66,162.0,190.0,241.0,269.0,308.0,380.0,366.0,414.0,502.0,458.0,514.0,615.0
21928,235.31182795698925,78.52357576015925,A,X,AX,46275.06,336.0,365.0,418.0,613.0,654.0,729.0,880.0,930.0,1023.0,1142.0,1200.0,1307.0
21523,66.03225806451613,43.78654557242172,A,Y,AY,46114.59,122.0,138.0,168.0,211.0,234.0,276.0,295.0,323.0,375.0,376.0,409.0,468.0
22138,71.04301075268818,157.67890991707716,A,Y,AY,45966.16,273.0,331.0,438.0,428.0,510.0,662.0,563.0,664.0,849.0,688.0,805.0,1019.0
20727,250.18279569892474,88.03485541991978,A,Y,AY,45790.57,363.0,395.0,455.0,660.0,706.0,790.0,946.0,1002.0,1106.0,1226.0,1291.0,1411.0
48185,64.45161290322581,73.07451837764937,A,Z,AZ,45777.19,158.0,185.0,235.0,261.0,299.0,370.0,355.0,402.0,488.0,445.0,499.0,598.0
21623,62.8494623655914,43.20347010695563,A,Z,AZ,45441.98,118.0,134.0,164.0,204.0,227.0,268.0,284.0,312.0,363.0,362.0,394.0,453.0
22355,284.1290322580645,174.05208807332218,A,X,AX,45426.01,507.0,571.0,690.0,883.0,974.0,1142.0,1238.0,1350.0,1555.0,1582.0,1711.0,1948.0
71477,134.21505376344086,148.825320758354,A,Y,AY,44708.15,325.0,380.0,481.0,538.0,616.0,759.0,733.0,828.0,1003.0,918.0,1028.0,1230.0
22326,139.5268817204301,89.33581493664377,A,Y,AY,44360.99,254.0,287.0,348.0,441.0,488.0,573.0,617.0,674.0,779.0,787.0,853.0,974.0
21175,185.98924731182797,106.77279376818086,A,Y,AY,43952.28,323.0,362.0,435.0,565.0,621.0,724.0,795.0,863.0,989.0,1017.0,1096.0,1242.0
84078A,11.494623655913978,7.341604408227337,A,Z,AZ,43844.96,21.0,24.0,29.0,36.0,40.0,47.0,51.0,55.0,64.0,65.0,70.0,80.0
22383,243.03225806451613,120.48319691737699,A,X,AX,43346.75,397.0,442.0,524.0,704.0,767.0,883.0,996.0,1073.0,1215.0,1281.0,1370.0,1534.0
84029E,86.59139784946237,149.71968796277957,A,Z,AZ,43251.79,278.0,334.0,435.0,444.0,523.0,667.0,592.0,688.0,864.0,730.0,840.0,1044.0
23298,66.27956989247312,114.60827572171837,A,Z,AZ,43182.83,213.0,255.0,333.0,340.0,400.0,510.0,453.0,526.0,661.0,559.0,643.0,799.0
84997D,99.79569892473118,66.93879061271493,A,Y,AY,43029.57,185.0,210.0,256.0,321.0,356.0,420.0,448.0,491.0,570.0,571.0,620.0,711.0
21915,291.89247311827955,498.2468691967661,A,Y,AY,42780.79,930.0,1114.0,1453.0,1486.0,1746.0,2226.0,1980.0,2300.0,2886.0,2443.0,2812.0,3489.0
20728,236.44086021505376,68.79364550218132,A,Y,AY,42349.5,324.0,350.0,397.0,597.0,633.0,700.0,862.0,906.0,987.0,1122.0,1173.0,1266.0
23203,123.61290322580645,265.00317621051704,A,Z,AZ,42067.78,463.0,561.0,741.0,727.0,866.0,1120.0,958.0,1128.0,1440.0,1173.0,1369.0,1729.0
82482,154.78494623655914,74.22411812315498,A,X,AX,41957.55,250.0,277.0,328.0,444.0,483.0,554.0,629.0,676.0,764.0,809.0,864.0,965.0
20713,183.4731182795699,177.1257586400054,A,Y,AY,40724.25,410.0,476.0,596.0,688.0,780.0,951.0,943.0,1057.0,1265.0,1187.0,1318.0,1559.0
22083,133.03225806451613,36.01773381730931,A,Y,AY,40535.47,179.0,192.0,217.0,331.0,350.0,385.0,479.0,502.0,544.0,624.0,651.0,700.0
85066,26.129032258064516,29.104219040125216,A,Y,AY,38854.98,63.0,74.0,94.0,105.0,120.0,148.0,143.0,162.0,196.0,179.0,201.0,240.0
84997B,91.86021505376344,54.04897505067031,A,Y,AY,38848.14,161.0,181.0,218.0,282.0,310.0,362.0,395.0,430.0,494.0,506.0,546.0,619.0
20726,216.0752688172043,77.52528239325801,A,Y,AY,38572.74,315.0,344.0,397.0,572.0,613.0,688.0,820.0,870.0,961.0,1063.0,1120.0,1226.0
82486,44.204301075268816,19.404853335586708,A,X,AX,38430.03,69.0,76.0,89.0,124.0,134.0,152.0,176.0,188.0,211.0,226.0,241.0,267.0
22960,68.63440860215054,81.00089192581783,A,Y,AY,38426.86,172.0,202.0,257.0,284.0,326.0,404.0,385.0,437.0,533.0,482.0,542.0,652.0
22699,114.9247311827957,70.34719330587191,A,Y,AY,38323.25,205.0,231.0,279.0,357.0,394.0,462.0,501.0,546.0,629.0,640.0,692.0,788.0
21166,167.19354838709677,215.15341615769992,A,Y,AY,38270.810000000005,443.0,522.0,669.0,724.0,836.0,1043.0,979.0,1116.0,1370.0,1220.0,1379.0,1671.0
23284,24.655913978494624,236.74372868946423,A,Z,AZ,38166.64,328.0,415.0,576.0,478.0,602.0,829.0,599.0,751.0,1029.0,705.0,880.0,1202.0
22720,54.333333333333336,90.44758155402143,A,Z,AZ,38158.39,170.0,204.0,265.0,272.0,320.0,407.0,364.0,421.0,528.0,449.0,516.0,639.0
22629,185.0,90.21691018635862,A,Y,AY,38014.0,300.0,334.0,395.0,533.0,581.0,667.0,755.0,813.0,919.0,971.0,1038.0,1160.0
20712,157.30107526881721,104.06867077298206,A,Y,AY,37540.32,291.0,329.0,400.0,503.0,557.0,658.0,703.0,769.0,892.0,896.0,973.0,1114.0
21485,60.096774193548384,116.35975773172835,A,Y,AY,37334.12,209.0,252.0,331.0,331.0,392.0,504.0,438.0,513.0,650.0,538.0,624.0,783.0
22727,60.58064516129032,154.44908213142634,A,Z,AZ,36618.77,258.0,315.0,420.0,401.0,482.0,630.0,524.0,623.0,805.0,638.0,752.0,962.0
22328,125.08602150537635,45.04637547073457,A,Y,AY,36270.61,183.0,199.0,230.0,332.0,355.0,399.0,475.0,504.0,557.0,616.0,649.0,710.0
21524,50.623655913978496,25.570752446313744,A,Y,AY,36057.55,83.0,93.0,110.0,148.0,161.0,186.0,209.0,225.0,255.0,268.0,287.0,322.0
84997C,84.36559139784946,52.741107770317484,A,Y,AY,35748.38,152.0,171.0,207.0,264.0,292.0,343.0,370.0,404.0,466.0,472.0,512.0,583.0
20724,283.76344086021504,146.24361838232122,A,X,AX,35227.61,471.0,525.0,625.0,832.0,909.0,1049.0,1176.0,1269.0,1441.0,1509.0,1618.0,1817.0
21755,56.806451612903224,14.538238710332251,A,X,AX,35121.62,75.0,81.0,91.0,140.0,148.0,162.0,203.0,212.0,229.0,264.0,275.0,295.0
22379,146.98924731182797,94.76513245080535,A,Y,AY,34682.84,268.0,303.0,368.0,466.0,515.0,606.0,651.0,712.0,823.0,831.0,901.0,1030.0
22382,184.43010752688173,95.47695243688993,A,X,AX,34187.47,307.0,342.0,407.0,542.0,592.0,683.0,765.0,826.0,939.0,982.0,1053.0,1183.0
22384,202.38709677419354,106.26826954805878,A,X,AX,34166.34,338.0,378.0,450.0,597.0,653.0,755.0,843.0,911.0,1036.0,1082.0,1160.0,1305.0
22666,79.79569892473118,154.28936925720168,A,Y,AY,33744.57,277.0,334.0,439.0,439.0,520.0,668.0,581.0,680.0,862.0,714.0,828.0,1038.0
22630,165.67741935483872,86.6999734923054,A,Y,AY,33437.38,277.0,309.0,368.0,488.0,534.0,617.0,689.0,745.0,847.0,885.0,949.0,1067.0
15036,453.3010752688172,280.7749179509127,A,Y,AY,32967.03,813.0,917.0,1108.0,1415.0,1562.0,1832.0,1982.0,2162.0,2493.0,2532.0,2740.0,3122.0
22726,51.505376344086024,89.22647519515274,A,Y,AY,32680.57,166.0,199.0,259.0,265.0,311.0,397.0,352.0,410.0,515.0,434.0,500.0,622.0
22385,157.4731182795699,94.95947053814137,A,Y,AY,32447.67,279.0,314.0,379.0,487.0,537.0,628.0,683.0,744.0,856.0,873.0,943.0,1072.0
22865,90.81720430107526,269.2632940054978,A,Z,AZ,31592.44,435.0,535.0,718.0,669.0,810.0,1069.0,869.0,1042.0,1359.0,1053.0,1252.0,1618.0
22077,148.0752688172043,98.02992264822979,A,X,AX,31584.66,274.0,310.0,376.0,474.0,525.0,619.0,662.0,724.0,840.0,843.0,916.0,1049.0
85152,142.20430107526883,163.64516106982092,A,Y,AY,31571.9,352.0,412.0,523.0,581.0,666.0,824.0,789.0,894.0,1087.0,988.0,1109.0,1331.0
85014B,58.41935483870968,33.216743177484396,A,Z,AZ,31303.7,101.0,113.0,136.0,177.0,194.0,226.0,249.0,270.0,309.0,319.0,343.0,388.0
48184,42.086021505376344,51.43093447284093,A,Y,AY,31194.96,108.0,127.0,162.0,177.0,204.0,254.0,240.0,273.0,334.0,300.0,338.0,408.0
23245,39.634408602150536,65.53953887401528,A,Z,AZ,31177.95,124.0,148.0,192.0,198.0,232.0,295.0,264.0,306.0,383.0,326.0,375.0,464.0
21479,47.763440860215056,110.26666068775282,A,Z,AZ,31137.050000000003,189.0,230.0,305.0,295.0,353.0,459.0,388.0,458.0,588.0,473.0,555.0,705.0
22697,84.12903225806451,59.86620337298813,A,Y,AY,30528.300000000003,161.0,183.0,224.0,277.0,308.0,366.0,385.0,423.0,494.0,490.0,534.0,615.0
23199,110.80645161290323,208.95823567549522,A,Z,AZ,30475.65,378.0,456.0,598.0,600.0,709.0,910.0,796.0,930.0,1176.0,978.0,1133.0,1417.0
22501,27.440860215053764,5.385833050352753,A,Z,AZ,30399.06,34.0,36.0,40.0,65.0,67.0,73.0,94.0,98.0,104.0,124.0,128.0,135.0
20679,59.935483870967744,23.211275831483007,A,Z,AZ,30038.82,90.0,98.0,114.0,162.0,174.0,196.0,231.0,246.0,273.0,299.0,316.0,348.0
21217,28.86021505376344,9.91103756247993,A,Y,AY,29858.79,42.0,45.0,52.0,76.0,81.0,90.0,109.0,115.0,127.0,141.0,148.0,162.0
84029G,57.946236559139784,66.22024876278748,A,Z,AZ,29661.23,143.0,167.0,212.0,236.0,270.0,334.0,321.0,363.0,441.0,401.0,450.0,540.0
22659,145.40860215053763,121.57857845295328,A,Y,AY,29596.96,301.0,346.0,429.0,511.0,575.0,691.0,706.0,784.0,927.0,893.0,983.0,1148.0
47590B,57.60215053763441,24.978706478747934,A,Y,AY,29558.86,90.0,99.0,116.0,160.0,173.0,198.0,228.0,244.0,274.0,294.0,313.0,347.0
22622,26.516129032258064,24.390714821362693,A,Z,AZ,29470.01,58.0,67.0,83.0,97.0,110.0,133.0,134.0,149.0,178.0,169.0,187.0,220.0
22158,72.10752688172043,119.45025749495947,A,Z,AZ,29451.98,225.0,269.0,350.0,360.0,423.0,538.0,481.0,558.0,698.0,594.0,683.0,845.0
82483,44.67741935483871,25.192952371683642,A,X,AX,29202.82,77.0,86.0,103.0,135.0,148.0,172.0,190.0,206.0,236.0,243.0,262.0,296.0
48188,48.8494623655914,42.41109502225125,A,Z,AZ,28662.03,103.0,119.0,148.0,174.0,197.0,237.0,241.0,268.0,318.0,304.0,335.0,393.0
20971,163.4731182795699,439.3269470321894,A,Z,AZ,28642.22,726.0,888.0,1187.0,1122.0,1352.0,1775.0,1464.0,1746.0,2263.0,1779.0,2104.0,2701.0
84978,208.25806451612902,97.24133594784627,A,X,AX,28580.96,333.0,369.0,435.0,593.0,643.0,737.0,840.0,903.0,1017.0,1082.0,1154.0,1286.0
22866,83.20430107526882,193.40088098310636,A,Z,AZ,28344.570000000003,331.0,402.0,534.0,517.0,618.0,804.0,678.0,802.0,1030.0,828.0,971.0,1234.0
22467,99.16129032258064,105.62389826837651,A,Y,AY,28278.78,234.0,273.0,345.0,390.0,445.0,546.0,532.0,599.0,724.0,667.0,745.0,889.0
22752,30.258064516129032,39.80823039904371,A,Z,AZ,28207.45,81.0,96.0,123.0,133.0,153.0,192.0,179.0,205.0,251.0,223.0,252.0,307.0
21977,556.4301075268817,296.91334334693,A,X,AX,28159.08,936.0,1046.0,1248.0,1650.0,1806.0,2091.0,2328.0,2518.0,2868.0,2986.0,3206.0,3609.0
22188,103.04301075268818,97.86931058030008,A,Z,AZ,28115.98,228.0,265.0,331.0,383.0,434.0,529.0,526.0,589.0,704.0,663.0,735.0,868.0
82583,103.89247311827957,159.8271296405228,A,Y,AY,28103.79,308.0,368.0,476.0,497.0,581.0,734.0,666.0,768.0,957.0,825.0,943.0,1160.0
23201,85.58064516129032,192.2027227412341,A,Z,AZ,27890.17,332.0,403.0,533.0,519.0,620.0,804.0,683.0,806.0,1032.0,834.0,977.0,1238.0
22492,377.16129032258067,351.895221255375,A,Y,AY,27864.390000000003,828.0,958.0,1197.0,1391.0,1575.0,1914.0,1912.0,2137.0,2552.0,2409.0,2670.0,3148.0
20719,227.63440860215053,70.80479912260861,A,X,AX,27634.12,318.0,344.0,393.0,583.0,620.0,689.0,840.0,885.0,969.0,1092.0,1144.0,1240.0
47566B,63.666666666666664,15.063055510436241,A,Y,AY,27598.2,83.0,89.0,99.0,155.0,162.0,177.0,224.0,234.0,252.0,293.0,304.0,325.0
22624,28.172043010752688,27.330879917622877,A,Y,AY,27500.33,63.0,73.0,92.0,106.0,120.0,146.0,145.0,163.0,195.0,183.0,203.0,240.0
21930,122.54838709677419,73.80396841983352,A,X,AX,27402.79,217.0,244.0,295.0,379.0,417.0,488.0,531.0,579.0,665.0,679.0,734.0,834.0
72741,190.01075268817203,100.37518673186777,A,Y,AY,27333.71,318.0,356.0,424.0,562.0,614.0,711.0,793.0,857.0,975.0,1017.0,1091.0,1228.0
22835,35.68817204301075,77.35170778804134,A,Z,AZ,27277.54,135.0,163.0,216.0,211.0,252.0,326.0,279.0,328.0,419.0,341.0,398.0,503.0
84991,534.5698924731183,183.00158190321443,A,X,AX,27122.96,769.0,837.0,961.0,1400.0,1496.0,1672.0,2009.0,2127.0,2342.0,2607.0,2742.0,2991.0
22961,129.23655913978496,142.7302520967911,A,Y,AY,26910.18,312.0,365.0,462.0,517.0,592.0,729.0,704.0,796.0,964.0,882.0,988.0,1182.0
20750,34.44086021505376,16.34160463651244,A,X,AX,26906.38,55.0,61.0,73.0,98.0,107.0,123.0,140.0,150.0,169.0,180.0,192.0,214.0
71459,329.4623655913978,134.41422566339205,A,Y,AY,26840.79,502.0,551.0,643.0,902.0,973.0,1102.0,1286.0,1373.0,1531.0,1662.0,1761.0,1944.0
22734,75.0752688172043,160.73108877007473,A,Z,AZ,26785.51,281.0,340.0,450.0,441.0,525.0,680.0,582.0,685.0,874.0,712.0,831.0,1049.0
22149,111.66666666666667,192.54480921980726,A,Y,AY,26281.97,358.0,429.0,560.0,572.0,673.0,858.0,762.0,885.0,1112.0,940.0,1082.0,1344.0
22867,80.35483870967742,163.78982554507542,A,Z,AZ,26161.730000000003,290.0,351.0,462.0,457.0,543.0,700.0,604.0,709.0,902.0,741.0,862.0,1085.0
48111,38.69892473118279,43.18901689806062,A,Z,AZ,26030.42,94.0,110.0,139.0,156.0,178.0,220.0,212.0,240.0,290.0,265.0,297.0,356.0
22551,137.95698924731184,74.87315139280865,A,Y,AY,25970.62,234.0,261.0,312.0,411.0,451.0,523.0,580.0,628.0,716.0,744.0,799.0,901.0
82600,114.98924731182795,188.2249788441902,A,Y,AY,25780.29,356.0,426.0,554.0,571.0,669.0,850.0,762.0,883.0,1105.0,942.0,1081.0,1337.0
20711,124.73118279569893,73.0148794299477,A,Y,AY,25723.03,218.0,245.0,295.0,382.0,420.0,490.0,536.0,583.0,669.0,686.0,740.0,839.0
21481,72.89247311827957,59.65725688092677,A,Y,AY,25677.25,149.0,171.0,212.0,254.0,285.0,342.0,351.0,389.0,459.0,444.0,488.0,570.0
22507,49.666666666666664,46.690108199560306,A,Z,AZ,25603.46,109.0,127.0,158.0,184.0,208.0,253.0,253.0,282.0,337.0,318.0,353.0,416.0
37503,26.548387096774192,0.0029013349746135992,A,Z,AZ,25471.33,27.0,27.0,27.0,53.0,53.0,53.0,80.0,80.0,80.0,106.0,106.0,106.0
22087,84.56989247311827,48.38465497479659,A,Y,AY,25445.15,147.0,164.0,197.0,257.0,282.0,329.0,361.0,392.0,449.0,462.0,498.0,564.0
21080,306.6559139784946,67.60760278166208,A,X,AX,25435.63,393.0,418.0,464.0,736.0,771.0,836.0,1070.0,1113.0,1193.0,1400.0,1450.0,1542.0
21108,103.72043010752688,202.2611661859999,A,Z,AZ,25435.57,363.0,437.0,575.0,574.0,679.0,874.0,760.0,889.0,1127.0,933.0,1082.0,1357.0
84755,409.83870967741933,185.04138984236442,A,Y,AY,25293.53,647.0,715.0,841.0,1155.0,1251.0,1429.0,1640.0,1758.0,1976.0,2113.0,2250.0,2502.0
22084,94.52688172043011,2.07345118074467,A,Z,AZ,25190.11,97.0,98.0,99.0,193.0,194.0,196.0,288.0,290.0,292.0,383.0,385.0,388.0
21527,36.12903225806452,2.137851507058905,A,Y,AY,25087.72,39.0,40.0,41.0,76.0,77.0,79.0,113.0,114.0,117.0,150.0,152.0,154.0
23173,23.741935483870968,53.57566043366637,A,Z,AZ,24918.93,92.0,112.0,149.0,144.0,173.0,224.0,190.0,224.0,287.0,232.0,272.0,345.0
20972,193.3548387096774,66.3024385964029,A,Y,AY,24856.56,278.0,303.0,348.0,507.0,541.0,605.0,727.0,770.0,848.0,943.0,992.0,1082.0
21314,109.12903225806451,48.1656303912201,A,Y,AY,24664.49,171.0,189.0,221.0,305.0,331.0,377.0,434.0,465.0,522.0,560.0,595.0,661.0
84836,193.6451612903226,78.90297013558023,A,Y,AY,24531.83,295.0,324.0,377.0,530.0,571.0,647.0,756.0,806.0,899.0,977.0,1035.0,1142.0
84077,962.1290322580645,480.6415955412145,A,Y,AY,24507.53,1577.0,1755.0,2082.0,2794.0,3046.0,3508.0,3952.0,4260.0,4826.0,5079.0,5435.0,6088.0
22722,36.74193548387097,174.27450471499196,A,Z,AZ,24507.36,260.0,324.0,443.0,389.0,480.0,648.0,497.0,608.0,814.0,593.0,722.0,959.0
22698,69.25806451612904,56.790786358206894,A,Y,AY,24486.72,142.0,163.0,202.0,241.0,271.0,326.0,334.0,370.0,437.0,422.0,464.0,542.0
22728,43.87096774193548,79.22837261466489,A,Z,AZ,24306.06,145.0,175.0,228.0,231.0,273.0,349.0,307.0,358.0,451.0,378.0,437.0,545.0
48173C,41.193548387096776,33.518631194359685,A,Z,AZ,24295.9,84.0,96.0,119.0,143.0,161.0,193.0,198.0,219.0,259.0,251.0,275.0,321.0
21231,189.67741935483872,90.89287158843773,A,Y,AY,24247.61,306.0,340.0,401.0,544.0,591.0,679.0,771.0,829.0,936.0,991.0,1059.0,1182.0
47590A,46.97849462365591,21.933821076936223,A,Y,AY,24201.38,75.0,83.0,98.0,134.0,145.0,166.0,190.0,204.0,229.0,244.0,260.0,290.0
22171,32.29032258064516,20.63022215322186,A,Z,AZ,23877.76,59.0,66.0,80.0,102.0,113.0,133.0,143.0,156.0,180.0,182.0,197.0,225.0
23344,16.50537634408602,447.3563786567475,A,Z,AZ,23815.75,589.0,755.0,1059.0,843.0,1077.0,1507.0,1041.0,1328.0,1855.0,1211.0,1542.0,2151.0
