StockCode,week,units,revenue,orders
10133,2010-06-14,10,8.5,1
10133,2010-06-21,20,17.0,1
10133,2010-07-05,20,17.0,1
10133,2010-07-12,42,35.7,4
10133,2010-07-19,10,8.5,1
10133,2010-08-02,14,11.9,2
10133,2010-08-09,20,17.0,1
10133,2010-08-16,27,22.95,3
10133,2010-08-30,4,3.4,1
10133,2010-09-06,15,14.370000000000001,3
10133,2010-09-13,2,3.32,1
10133,2010-09-27,32,27.2,3
10133,2010-10-04,50,42.5,2
10133,2010-10-11,17,14.450000000000001,3
10133,2010-10-18,4,3.4,1
10133,2010-10-25,31,26.35,4
10133,2010-11-01,27,23.759999999999998,4
10133,2010-11-15,36,30.6,4
10133,2010-11-22,5,5.869999999999999,3
10133,2010-11-29,25,22.06,6
10133,2010-12-06,14,11.9,3
10133,2010-12-13,80,42.2,5
10133,2010-12-20,16,13.36,2
10133,2011-01-03,11,8.91,5
10133,2011-01-10,67,45.95,8
10133,2011-01-17,92,50.480000000000004,7
10133,2011-01-24,10,8.5,1
10133,2011-02-07,10,8.5,1
10133,2011-02-14,10,8.5,1
10133,2011-02-21,14,11.9,2
10133,2011-02-28,56,49.16,6
10133,2011-03-07,2,1.7,1
10133,2011-03-28,30,25.5,2
10133,2011-04-04,1,1.63,1
10133,2011-04-11,70,59.5,1
10133,2011-04-18,5,4.25,1
10133,2011-05-02,11,9.35,2
10133,2011-05-09,20,17.0,1
10133,2011-05-16,2,1.7,1
10133,2011-05-30,21,14.329999999999998,3
10133,2011-06-06,174,73.49000000000001,12
10133,2011-06-13,132,62.0,11
10133,2011-06-20,123,63.54,11
10133,2011-06-27,110,67.52,7
10133,2011-07-04,202,109.44,17
10133,2011-07-11,215,100.14,15
10133,2011-07-18,219,107.97,7
10133,2011-07-25,160,84.83,11
10133,2011-08-01,170,79.6,8
10133,2011-08-08,92,68.16,3
10133,2011-08-15,245,102.9,9
10133,2011-08-22,225,94.5,7
10133,2011-08-29,208,105.39999999999999,17
10133,2011-09-05,30,12.600000000000001,2
10134,2009-11-30,23,28.75,3
10134,2009-12-07,15,18.75,2
10134,2009-12-14,15,20.07,4
10134,2010-01-04,200,212.0,1
10134,2010-01-18,1,2.51,1
10134,2010-01-25,14,17.5,2
10134,2010-02-15,20,25.0,2
10134,2010-02-22,14,17.5,3
10134,2010-03-01,1,1.25,1
10134,2010-03-08,30,37.5,2
10134,2010-03-15,20,25.0,2
10134,2010-03-22,3,3.75,2
10134,2010-03-29,10,12.5,1
10134,2010-04-12,11,13.75,2
10134,2010-04-19,9,11.25,3
10134,2010-05-10,10,12.5,1
10134,2010-06-07,14,17.5,2
10134,2010-06-28,3,3.75,1
10134,2010-07-12,3,3.75,2
10134,2010-07-26,10,12.5,1
10134,2010-08-02,12,15.0,2
10134,2010-08-09,130,137.8,1
10134,2010-09-06,1,1.25,1
10134,2010-09-13,2,2.5,1
10134,2010-10-04,10,12.5,1
10134,2010-10-11,16,20.0,3
10134,2010-10-18,2,2.5,1
10134,2010-11-01,25,31.25,2
10134,2010-11-08,3,3.75,2
10135,2009-11-30,61,78.89,8
10135,2009-12-07,26,32.5,3
10135,2009-12-14,33,55.769999999999996,10
10135,2009-12-21,3,7.709999999999999,1
10135,2010-01-04,11,13.75,2
10135,2010-01-11,12,15.0,2
10135,2010-01-18,11,13.75,2
10135,2010-01-25,14,17.5,2
10135,2010-02-01,45,53.71,5
10135,2010-02-08,31,38.75,3
10135,2010-02-15,50,62.5,4
10135,2010-02-22,742,794.5,5
10135,2010-03-01,1,1.25,1
10135,2010-03-08,37,47.51,4
10135,2010-03-15,20,25.0,2
10135,2010-03-22,20,25.0,2
10135,2010-03-29,23,28.75,3
10135,2010-04-05,1,2.51,1
10135,2010-04-12,11,13.75,2
10135,2010-04-19,23,30.009999999999998,5
10135,2010-04-26,35,43.6,3
10135,2010-05-10,10,12.5,1
10135,2010-05-17,103,109.75,2
10135,2010-05-24,20,25.0,1
10135,2010-06-07,30,37.5,3
10135,2010-06-14,20,25.0,2
10135,2010-06-21,20,25.0,1
10135,2010-06-28,23,28.75,3
10135,2010-07-12,23,28.75,2
10135,2010-07-26,14,17.5,2
10135,2010-08-09,10,12.5,1
10135,2010-08-16,40,50.0,4
10135,2010-08-23,20,25.0,2
10135,2010-08-30,11,13.75,2
10135,2010-09-06,1,1.25,1
10135,2010-09-13,11,13.75,2
10135,2010-09-20,2,5.02,1
10135,2010-09-27,20,25.0,2
10135,2010-10-04,15,18.75,6
10135,2010-10-11,35,43.75,5
10135,2010-10-18,13,16.25,3
10135,2010-10-25,21,27.509999999999998,3
10135,2010-11-01,172,196.0,8
10135,2010-11-08,58,72.5,6
10135,2010-11-15,31,42.53,7
10135,2010-11-22,54,73.8,8
10135,2010-11-29,33,43.769999999999996,6
10135,2010-12-06,28,51.379999999999995,8
10135,2010-12-13,306,141.06,13
10135,2010-12-20,54,55.31,5
10135,2011-01-03,225,150.4,13
10135,2011-01-10,116,96.58000000000001,11
10135,2011-01-17,260,225.4,16
10135,2011-01-24,12,15.0,2
10135,2011-01-31,1,2.46,1
10135,2011-02-07,1,2.46,1
10135,2011-02-14,51,48.36,5
10135,2011-02-21,216,239.26,4
10135,2011-02-28,24,30.0,4
10135,2011-03-07,2,2.5,1
10135,2011-03-14,92,65.2,3
10135,2011-03-21,2,2.5,1
10135,2011-03-28,18,23.71,4
10135,2011-04-11,10,12.5,1
10135,2011-04-18,3,3.75,1
10135,2011-05-02,5,12.3,1
10135,2011-05-16,8,10.0,2
10135,2011-05-30,11,13.75,2
10135,2011-06-06,10,12.5,1
10135,2011-06-13,11,13.75,2
10135,2011-06-20,23,28.75,3
10135,2011-06-27,100,125.0,1
10135,2011-07-04,12,15.0,2
10135,2011-07-11,45,56.25,4
10135,2011-07-18,10,12.5,1
10135,2011-07-25,10,12.5,1
10135,2011-08-01,102,108.5,2
10135,2011-08-15,40,50.0,1
10135,2011-08-22,10,12.5,1
10135,2011-08-29,10,12.5,1
10135,2011-09-05,10,12.5,1
10135,2011-09-12,20,26.21,3
10135,2011-09-19,25,37.3,3
10135,2011-09-26,5,11.09,3
10135,2011-10-03,5,12.3,1
10135,2011-10-10,6,12.34,3
10135,2011-10-17,21,27.46,2
10135,2011-10-24,33,41.25,5
10135,2011-10-31,47,27.59,6
10135,2011-11-07,36,52.26,5
10135,2011-11-14,35,61.9,3
10135,2011-11-21,37,41.09,7
10135,2011-11-28,61,89.56,5
10135,2011-12-05,39,59.64,4
10138,2009-11-30,155,65.1,6
10138,2009-12-07,19,7.98,2
10138,2009-12-14,2,1.66,2
10138,2010-01-11,15,7.08,3
10138,2010-02-01,24,10.08,2
10138,2010-02-15,12,5.04,1
10138,2010-03-22,1,0.42,1
10138,2010-03-29,21,8.82,3
10138,2010-04-19,12,5.04,1
11001,2009-11-30,73,128.59,5
11001,2009-12-07,43,76.15,7
11001,2009-12-14,86,148.82,7
11001,2010-01-04,18,30.419999999999998,2
11001,2010-01-18,65,109.85,2
11001,2010-02-08,16,27.04,1
11001,2010-02-15,1,1.69,1
11001,2010-03-01,16,27.04,1
11001,2010-03-08,16,27.04,1
11001,2010-03-15,3,5.07,2
11001,2010-03-22,18,33.76,2
11001,2010-04-12,16,27.04,1
11001,2010-04-19,53,97.92,5
11001,2010-04-26,1,3.36,1
11001,2010-05-03,38,64.22,2
11001,2010-05-10,627,858.0300000000001,5
11001,2010-05-17,32,54.08,2
11001,2010-05-24,16,27.04,1
11001,2010-05-31,16,27.04,1
11001,2010-06-07,68,106.52,4
11001,2010-06-14,64,108.16,3
11001,2010-06-21,33,55.769999999999996,3
11001,2010-06-28,23,38.87,3
11001,2010-07-05,16,27.04,1
11001,2010-07-26,32,54.08,2
11001,2010-08-02,54,91.25999999999999,4
11001,2010-08-09,16,27.04,1
11001,2010-08-16,16,27.04,1
11001,2010-08-23,128,216.32,1
11001,2010-08-30,152,256.88,3
11001,2010-09-06,2,3.38,1
11001,2010-09-13,56,94.64,6
11001,2010-09-20,20,33.8,3
11001,2010-09-27,369,524.48,8
11001,2010-10-04,209,353.21,9
11001,2010-10-11,356,502.51000000000005,6
11001,2010-10-18,49,82.81,3
11001,2010-10-25,65,109.85,5
11001,2010-11-01,132,186.67,6
11001,2010-11-08,48,81.12,3
11001,2010-11-15,64,108.16,4
11001,2010-11-22,71,126.67,7
11001,2010-11-29,39,70.91999999999999,4
11001,2010-12-06,35,62.489999999999995,5
11001,2010-12-13,19,35.45,3
11001,2010-12-20,1,3.36,1
11001,2011-01-03,32,54.08,2
11001,2011-01-10,1,3.36,1
11001,2011-02-07,10,32.9,1
11001,2011-02-14,16,27.04,1
11001,2011-03-07,1,3.29,1
11001,2011-03-14,2,6.58,1
11001,2011-03-21,1,1.69,1
11001,2011-03-28,64,108.16,3
11001,2011-04-04,3,5.07,1
11001,2011-04-11,1,1.69,1
11001,2011-04-18,16,27.04,1
11001,2011-05-02,32,54.08,1
11001,2011-05-09,16,27.04,1
11001,2011-05-23,48,81.12,3
11001,2011-05-30,16,27.04,1
11001,2011-06-13,35,59.15,4
11001,2011-06-20,48,81.12,2
11001,2011-06-27,118,111.69999999999999,3
11001,2011-07-04,111,92.13,11
11001,2011-07-11,37,38.449999999999996,7
11001,2011-07-18,56,60.239999999999995,6
11001,2011-07-25,16,27.04,1
11001,2011-08-01,385,490.97,2
11001,2011-08-08,80,101.6,1
11001,2011-08-15,2,3.38,1
11001,2011-08-22,32,54.08,2
11001,2011-08-29,48,81.12,3
11001,2011-09-05,5,8.45,1
11001,2011-09-12,7,11.83,1
11001,2011-09-19,20,38.599999999999994,4
11001,2011-09-26,16,27.04,1
11001,2011-10-03,41,78.89,4
11001,2011-10-10,52,94.28,4
11001,2011-10-17,19,36.91,2
11001,2011-10-24,1,1.69,1
11001,2011-10-31,19,36.91,3
11001,2011-11-07,34,59.059999999999995,3
11001,2011-11-14,24,50.16,4
11001,2011-11-21,51,90.99,5
11001,2011-11-28,20,38.6,3
11001,2011-12-05,5,16.450000000000003,3
15030,2009-12-07,10,2.9,1
15030,2010-01-11,5,1.45,1
15030,2010-01-25,10,2.9,1
15030,2010-03-08,10,2.9,1
15030,2010-04-12,10,2.9,1
15030,2010-06-07,4,1.16,1
15030,2010-06-14,6,1.7399999999999998,1
15030,2010-06-28,7,2.03,1
15030,2010-07-12,10,2.9,1
15030,2010-07-26,6,1.7399999999999998,1
15030,2010-08-02,5,1.45,1
15030,2010-09-13,10,2.9,1
15030,2010-09-20,15,4.35,1
15030,2010-10-25,3,0.8699999999999999,1
15030,2011-03-21,5,1.45,1
15030,2011-06-27,14,4.06,2
15030,2011-07-04,20,5.8,1
15030,2011-07-11,5,1.45,1
15030,2011-07-18,60,17.4,1
15030,2011-08-15,2,0.58,1
15030,2011-09-26,3,0.8699999999999999,1
15030,2011-10-24,10,2.9,1
15030,2011-11-07,22,6.379999999999999,2
15030,2011-12-05,2,0.58,1
15034,2009-11-30,3,1.1099999999999999,2
15034,2009-12-07,6,4.9799999999999995,3
15034,2009-12-14,76,13.400000000000002,4
15034,2010-01-04,288,40.32000000000001,1
15034,2010-01-11,4,3.24,1
15034,2010-01-18,31,7.69,4
15034,2010-02-08,73,18.930000000000003,4
15034,2010-02-15,43,34.83,2
15034,2010-02-22,12,1.6800000000000002,1
15034,2010-03-01,96,13.440000000000001,1
15034,2010-03-08,12,1.6800000000000002,1
15034,2010-03-15,50,8.34,2
15034,2010-03-29,48,6.720000000000001,2
15034,2010-04-05,37,5.850000000000001,2
15034,2010-04-19,1,0.81,1
15034,2010-05-03,168,23.520000000000003,2
15034,2010-05-10,25,4.17,2
15034,2010-05-17,111,17.550000000000004,4
15034,2010-05-24,110,15.400000000000002,3
15034,2010-05-31,336,30.240000000000002,4
15034,2010-06-07,64,8.96,5
15034,2010-06-14,49,7.530000000000001,3
15034,2010-06-21,252,35.28,5
15034,2010-06-28,528,73.92000000000002,5
15034,2010-07-05,33,10.65,3
15034,2010-07-12,78,23.62,6
15034,2010-07-19,59,16.07,3
15034,2010-07-26,62,8.680000000000001,5
15034,2010-08-02,62,10.100000000000001,4
15034,2010-08-09,63,10.950000000000001,4
15034,2010-08-16,2,1.7,1
15034,2010-08-23,73,10.22,3
15034,2010-08-30,38,5.32,2
15034,2010-09-06,48,6.720000000000001,1
15034,2010-09-13,25,3.5000000000000004,2
15034,2010-09-20,109,15.97,2
15034,2010-09-27,36,5.040000000000001,1
15034,2010-10-04,72,10.080000000000002,1
15034,2010-10-11,13,2.5300000000000002,2
15034,2010-10-18,2,1.7,1
15034,2010-10-25,1,0.85,1
15034,2010-11-01,121,17.650000000000002,3
15034,2010-11-15,181,26.050000000000004,5
15034,2010-11-22,145,21.01,3
15034,2010-11-29,2,0.28,2
15034,2010-12-06,27,5.91,4
15034,2010-12-13,14,3.38,2
15034,2010-12-20,2,1.7,1
15034,2011-01-03,169,24.370000000000005,2
15034,2011-01-10,5,4.1899999999999995,2
15034,2011-01-17,3,2.4899999999999998,2
15034,2011-01-31,24,3.3600000000000003,1
15034,2011-02-07,8,6.64,2
15034,2011-02-21,48,6.720000000000001,1
15034,2011-02-28,39,7.53,3
15034,2011-03-07,12,1.6800000000000002,1
15034,2011-03-14,48,6.720000000000001,1
15034,2011-03-21,24,3.3600000000000003,1
15034,2011-04-11,24,3.3600000000000003,1
15034,2011-04-18,85,12.590000000000002,6
15034,2011-04-25,432,43.68000000000001,4
15034,2011-05-02,497,73.03,3
15034,2011-05-09,76,13.4,6
15034,2011-05-16,48,6.720000000000001,1
15034,2011-05-23,206,30.220000000000002,8
15034,2011-05-30,264,20.16,2
15034,2011-06-06,1272,94.08000000000003,4
15034,2011-06-13,48,6.720000000000001,2
15034,2011-06-20,36,5.040000000000001,2
15034,2011-06-27,25,4.19,2
15034,2011-07-04,3,2.4899999999999998,2
15034,2011-07-11,48,6.720000000000001,1
15034,2011-07-18,121,16.94,3
15034,2011-07-25,16,5.0,2
15034,2011-08-01,19,7.49,2
15034,2011-08-08,100,66.44,4
15034,2011-08-15,24,3.3600000000000003,1
15034,2011-08-22,48,6.720000000000001,2
15034,2011-08-29,50,16.66,7
15034,2011-09-05,108,15.120000000000001,4
15034,2011-09-12,21,7.08,3
15034,2011-09-19,216,30.240000000000006,4
15034,2011-09-26,1213,86.51000000000002,3
15034,2011-10-03,49,7.550000000000001,2
15034,2011-10-10,397,56.27,3
15034,2011-10-24,145,20.990000000000002,4
15034,2011-10-31,397,56.27000000000001,5
15034,2011-11-07,28,6.68,5
15034,2011-11-14,20,7.63,5
15034,2011-11-21,112,15.680000000000001,5
15034,2011-11-28,16,5.0,3
15034,2011-12-05,2,1.66,2
15036,2009-11-30,337,189.95,8
15036,2009-12-07,103,79.30000000000001,8
15036,2009-12-14,63,58.5,9
15036,2009-12-21,103,71.5,5
15036,2010-01-04,192,124.80000000000001,4
15036,2010-01-11,30,30.86,9
15036,2010-01-18,118,83.0,10
15036,2010-01-25,59,45.28,7
15036,2010-02-01,36,20.520000000000003,2
15036,2010-02-08,98,64.96000000000001,4
15036,2010-02-15,214,145.4,6
15036,2010-02-22,103,67.47,7
15036,2010-03-01,194,178.36,7
15036,2010-03-08,104,88.6,6
15036,2010-03-15,747,425.04,9
15036,2010-03-22,117,87.61,7
15036,2010-03-29,785,509.08,9
15036,2010-04-05,232,161.72,9
15036,2010-04-12,96,72.0,4
15036,2010-04-19,195,154.2,15
15036,2010-04-26,832,572.48,11
15036,2010-05-03,468,348.96,13
15036,2010-05-10,1179,732.0,13
15036,2010-05-17,74,56.56,6
15036,2010-05-24,894,620.04,14
15036,2010-05-31,404,290.13,13
15036,2010-06-07,1094,761.56,20
15036,2010-06-14,232,176.12,16
15036,2010-06-21,1571,1011.52,25
15036,2010-06-28,1333,960.95,22
15036,2010-07-05,943,663.6800000000001,16
15036,2010-07-12,577,480.92,25
15036,2010-07-19,1784,1247.68,21
15036,2010-07-26,112,105.2,3
15036,2010-08-02,168,195.96,6
15036,2010-08-09,77,92.2,5
15036,2010-08-23,18,16.68,3
15036,2010-08-30,26,20.560000000000002,3
15036,2010-09-06,2,2.56,1
15036,2010-09-13,3,3.84,2
15036,2010-09-20,21,16.28,4
15036,2010-09-27,23,25.2,2
15036,2010-10-11,831,564.84,8
15036,2010-10-18,172,131.12,10
15036,2010-10-25,2010,1394.28,9
15036,2010-11-01,205,167.0,7
15036,2010-11-08,130,115.52,12
15036,2010-11-15,355,261.14,16
15036,2010-11-22,927,652.74,17
15036,2010-11-29,130,109.16,11
