StockCode,gap_start,gap_end,gap_weeks,weeks_before,weeks_after
17090A,2010-12-13,2011-01-10,5,17,7
17090A,2011-02-07,2011-04-25,12,19,5
17090A,2011-05-09,2011-05-23,3,20,4
17090D,2010-07-12,2010-08-16,6,9,16
17090D,2010-09-13,2010-09-27,3,11,14
17090D,2010-10-25,2010-11-08,3,14,11
17090D,2010-12-13,2011-02-14,10,18,7
17090D,2011-03-28,2011-04-25,5,21,4
17091A,2011-01-10,2011-02-07,5,51,8
17091A,2011-03-28,2011-04-11,3,54,5
17091B,2010-05-03,2010-05-17,3,15,15
17091J,2010-03-22,2010-04-05,3,14,67
17091J,2010-09-13,2010-09-27,3,33,48
17091J,2011-03-28,2011-04-11,3,52,29
17096,2010-05-03,2010-05-17,3,14,39
17096,2011-05-02,2011-05-16,3,49,4
17107D,2010-04-12,2010-05-17,6,11,40
17107D,2010-06-14,2010-06-28,3,14,37
17107D,2010-07-12,2010-07-26,3,15,36
17107D,2010-12-20,2011-01-03,3,28,23
17107D,2011-01-17,2011-01-31,3,29,22
17107D,2011-04-25,2011-05-09,3,37,14
17107D,2011-06-20,2011-08-15,9,41,10
17107D,2011-09-26,2011-10-10,3,45,6
17109D,2010-07-26,2010-08-09,3,19,10
17109D,2010-09-06,2010-10-11,6,21,8
17129F,2010-12-27,2011-01-10,3,47,34
17136A,2010-05-10,2010-07-19,11,9,19
17136A,2010-08-16,2010-11-01,12,12,16
17136A,2010-11-29,2011-01-24,9,14,14
17136A,2011-02-14,2011-02-28,3,16,12
17136A,2011-03-14,2011-03-28,3,17,11
17136A,2011-04-11,2011-04-25,3,18,10
17136A,2011-06-13,2011-06-27,3,21,7
17136A,2011-07-11,2011-08-15,6,22,6
17165B,2010-08-09,2010-08-23,3,25,5
17178,2010-06-14,2010-07-05,4,12,4
18007,2010-03-29,2010-04-19,4,8,35
18007,2010-07-19,2010-08-02,3,16,27
18094C,2010-05-10,2010-06-07,5,19,41
18094C,2010-07-19,2010-08-09,4,22,38
18094C,2011-06-13,2011-06-27,3,51,9
18097C,2011-05-23,2011-06-06,3,63,17
18098C,2011-03-21,2011-05-09,8,60,6
18098C,2011-05-23,2011-06-20,5,61,5
20615,2010-06-21,2010-07-05,3,23,57
20615,2011-04-18,2011-05-02,3,55,25
20616,2010-04-19,2010-05-03,3,14,49
20616,2010-05-17,2010-06-14,5,15,48
20616,2010-08-16,2010-08-30,3,20,43
20616,2010-09-13,2010-10-04,4,21,42
20616,2010-10-18,2010-11-01,3,22,41
20617,2010-08-16,2010-09-20,6,26,40
20617,2011-02-28,2011-03-28,5,44,22
20617,2011-09-12,2011-09-26,3,57,9
20618,2010-05-03,2010-05-31,5,17,57
20618,2010-08-23,2010-09-06,3,26,48
20618,2011-09-12,2011-10-24,7,68,6
20619,2010-03-29,2010-04-12,3,13,69
20619,2010-09-13,2010-09-27,3,32,50
20621,2010-03-22,2010-04-19,5,10,10
20622,2010-08-16,2010-08-30,3,27,41
20622,2011-02-14,2011-03-07,4,45,23
20622,2011-03-21,2011-04-04,3,46,22
20622,2011-08-15,2011-08-29,3,60,8
20652,2010-05-17,2010-05-31,3,19,56
20652,2011-04-11,2011-04-25,3,53,22
20652,2011-09-26,2011-10-10,3,67,8
20653,2010-03-29,2010-04-12,3,9,37
20653,2010-05-17,2010-06-07,4,11,35
20653,2010-08-16,2010-10-04,8,18,28
20653,2010-12-13,2010-12-27,3,27,19
20653,2011-03-21,2011-04-11,4,34,12
20653,2011-07-25,2011-09-26,10,42,4
20654,2010-08-23,2010-09-06,3,24,41
20654,2011-02-07,2011-02-28,4,42,23
20654,2011-05-09,2011-05-23,3,47,18
20654,2011-09-12,2011-09-26,3,58,7
20655,2010-05-03,2010-05-24,4,18,64
20655,2010-08-30,2010-09-13,3,29,53
20657,2010-02-22,2010-03-08,3,11,50
20657,2010-12-20,2011-01-03,3,36,25
20657,2011-03-14,2011-04-04,4,42,19
20657,2011-08-15,2011-08-29,3,54,7
20659,2010-03-29,2010-04-12,3,10,58
20659,2011-02-21,2011-03-07,3,44,24
20659,2011-05-02,2011-05-23,4,48,20
20661,2010-12-06,2011-05-30,26,40,18
20661,2011-09-26,2011-10-10,3,53,5
20662,2010-05-31,2010-06-28,5,9,24
20662,2010-08-16,2010-09-13,5,12,21
20662,2011-02-14,2011-03-28,7,26,7
20662,2011-04-25,2011-06-20,9,28,5
20663,2010-07-19,2010-08-02,3,10,20
20663,2010-12-13,2010-12-27,3,20,10
20663,2011-01-17,2011-02-21,6,22,8
20663,2011-03-28,2011-04-18,4,24,6
20663,2011-05-09,2011-06-20,7,26,4
20664,2010-09-20,2010-11-01,7,10,14
20664,2010-11-15,2010-11-29,3,11,13
20664,2010-12-27,2011-05-30,23,14,10
20666,2010-07-12,2010-08-02,4,13,15
20666,2010-08-16,2010-09-13,5,14,14
20666,2010-10-04,2010-11-01,5,16,12
20666,2010-12-13,2011-02-21,11,20,8
20666,2011-03-07,2011-03-28,4,21,7
20666,2011-04-11,2011-05-30,8,22,6
20668,2010-04-12,2010-05-17,6,9,65
20668,2010-07-05,2010-07-19,3,14,60
20669,2011-02-28,2011-04-25,9,52,26
20669,2011-05-16,2011-06-06,4,54,24
20670,2010-08-16,2010-09-13,5,18,14
20670,2010-10-11,2010-11-22,7,21,11
20670,2010-12-13,2011-04-04,17,23,9
20670,2011-05-09,2011-06-27,8,25,7
20670,2011-07-18,2011-08-01,3,27,5
20684,2010-12-13,2011-01-03,4,48,20
20686,2010-04-12,2010-05-03,4,17,67
20686,2011-01-17,2011-01-31,3,47,37
20694,2010-04-12,2010-05-24,7,10,27
20694,2010-07-19,2010-08-16,5,14,23
20694,2010-11-22,2010-12-06,3,22,15
20694,2010-12-27,2011-01-31,6,24,13
20694,2011-03-28,2011-04-18,4,29,8
20694,2011-05-02,2011-05-16,3,30,7
20694,2011-05-30,2011-06-13,3,31,6
20695,2010-05-17,2010-06-07,4,13,17
20695,2010-08-30,2010-09-13,3,19,11
20696,2010-03-29,2010-04-12,3,8,34
20696,2010-05-24,2010-06-07,3,13,29
20696,2010-07-12,2010-08-09,5,16,26
20696,2011-02-14,2011-04-11,9,32,10
20696,2011-04-25,2011-05-23,5,33,9
20696,2011-06-06,2011-07-11,6,34,8
20696,2011-07-25,2011-08-22,5,35,7
20697,2010-10-25,2010-11-22,5,8,9
20697,2010-12-06,2011-01-10,6,9,8
20697,2011-01-24,2011-05-16,17,10,7
20697,2011-05-30,2011-06-27,5,11,6
20697,2011-07-18,2011-08-22,6,13,4
20698,2010-05-17,2010-07-26,11,8,11
20698,2010-08-09,2010-10-11,10,9,10
20698,2010-11-08,2011-01-03,9,12,7
20698,2011-01-24,2011-05-16,17,14,5
20698,2011-05-30,2011-08-22,13,15,4
20699,2010-08-16,2010-08-30,3,24,24
20699,2011-01-24,2011-02-07,3,40,8
20699,2011-03-14,2011-06-06,13,43,5
20699,2011-06-20,2011-07-11,4,44,4
20700,2010-03-15,2010-04-12,5,8,43
20700,2010-09-06,2010-09-27,4,21,30
20700,2010-11-01,2010-11-22,4,23,28
20700,2011-01-17,2011-02-14,5,28,23
20700,2011-03-07,2011-03-21,3,30,21
20701,2010-07-26,2010-08-16,4,8,13
20701,2010-08-30,2010-09-27,5,9,12
20701,2010-10-18,2010-11-15,5,11,10
20701,2010-11-29,2010-12-13,3,12,9
20701,2010-12-27,2011-04-25,18,13,8
20702,2010-12-13,2010-12-27,3,52,26
20704,2010-03-29,2010-05-03,6,9,38
20704,2010-08-02,2010-08-30,5,15,32
20704,2010-11-22,2010-12-06,3,23,24
20704,2011-03-28,2011-04-18,4,32,15
20704,2011-05-02,2011-05-16,3,33,14
20704,2011-05-30,2011-06-13,3,34,13
20704,2011-06-27,2011-07-11,3,35,12
20705,2010-07-05,2010-08-09,6,12,28
20705,2010-08-23,2010-09-13,4,13,27
20705,2010-09-27,2010-10-11,3,14,26
20705,2011-01-24,2011-02-07,3,24,16
20705,2011-03-28,2011-04-11,3,27,13
20705,2011-04-25,2011-05-16,4,28,12
20705,2011-05-30,2011-06-13,3,29,11
20705,2011-07-25,2011-08-22,5,32,8
20705,2011-09-26,2011-10-10,3,34,6
20707,2010-08-09,2010-09-06,5,25,49
20707,2010-09-20,2010-10-04,3,26,48
20707,2010-10-18,2010-11-01,3,27,47
20707,2010-12-20,2011-01-10,4,32,42
20712,2010-07-12,2010-08-09,5,30,67
20713,2010-07-26,2010-08-09,3,33,58
20713,2011-04-04,2011-05-30,9,65,26
20729,2010-04-05,2010-04-19,3,16,8
20730,2010-05-24,2010-06-07,3,20,4
20731,2010-08-16,2010-08-30,3,27,15
20731,2010-09-13,2010-10-18,6,28,14
20731,2010-12-13,2011-01-17,6,33,9
20731,2011-01-31,2011-03-07,6,34,8
20731,2011-03-21,2011-04-04,3,35,7
20733,2010-04-26,2010-05-31,6,14,67
20733,2010-07-26,2010-08-09,3,18,63
20735,2010-05-03,2010-05-17,3,12,56
20735,2010-07-12,2010-08-02,4,17,51
20735,2011-06-27,2011-07-18,4,60,8
20735,2011-08-01,2011-09-05,6,61,7
20748,2010-03-22,2010-04-05,3,14,52
20748,2011-04-11,2011-05-09,5,52,14
20748,2011-06-27,2011-07-25,5,57,9
20748,2011-08-08,2011-08-22,3,58,8
20752,2010-06-28,2010-07-12,3,27,64
20755,2010-05-03,2010-05-24,4,10,43
20755,2010-06-28,2010-07-19,4,14,39
20755,2010-08-16,2010-09-06,4,16,37
20755,2010-12-27,2011-01-24,5,28,25
20755,2011-05-02,2011-05-16,3,36,17
20755,2011-06-27,2011-08-08,7,39,14
20756,2010-03-22,2010-04-19,5,8,24
20756,2010-05-03,2010-06-07,6,9,23
20756,2010-06-28,2010-09-06,11,11,21
20756,2010-09-20,2010-10-04,3,12,20
20756,2010-11-22,2011-01-10,8,17,15
20756,2011-01-24,2011-02-07,3,18,14
20756,2011-02-28,2011-03-28,5,20,12
20756,2011-04-18,2011-06-06,8,22,10
20756,2011-06-20,2011-07-04,3,23,9
20756,2011-07-25,2011-09-12,8,25,7
20757,2010-06-21,2010-07-12,4,11,29
20757,2010-07-26,2010-08-16,4,12,28
20757,2010-09-13,2010-09-27,3,14,26
20757,2010-10-11,2010-11-01,4,15,25
20757,2010-12-20,2011-01-24,6,21,19
20757,2011-03-21,2011-04-04,3,26,14
20757,2011-06-20,2011-07-04,3,31,9
20757,2011-07-18,2011-08-22,6,32,8
20757,2011-09-19,2011-10-10,4,34,6
20758,2010-03-08,2010-03-29,4,9,43
20758,2010-05-17,2010-06-14,5,12,40
20758,2010-06-28,2010-07-26,5,13,39
20758,2010-08-16,2010-08-30,3,15,37
20758,2010-12-13,2011-01-10,5,25,27
20758,2011-01-24,2011-02-07,3,26,26
20758,2011-06-20,2011-07-04,3,38,14
20758,2011-07-18,2011-08-15,5,39,13
20759,2010-05-17,2010-06-07,4,10,26
20759,2010-07-05,2010-07-26,4,12,24
20759,2010-08-23,2010-09-06,3,14,22
20759,2010-12-13,2011-01-10,5,23,13
20759,2011-01-24,2011-02-07,3,24,12
20759,2011-03-14,2011-03-28,3,26,10
20759,2011-04-11,2011-05-16,6,27,9
20759,2011-06-20,2011-09-05,12,29,7
20759,2011-10-17,2011-10-31,3,32,4
20760,2010-02-22,2010-03-08,3,8,36
20760,2010-05-17,2010-05-31,3,14,30
20760,2010-06-14,2010-07-12,5,15,29
20760,2010-12-13,2011-02-07,9,31,13
20760,2011-03-14,2011-03-28,3,33,11
20760,2011-04-18,2011-05-30,7,35,9
20760,2011-06-20,2011-09-05,12,37,7
20761,2010-12-20,2011-01-10,4,39,33
20761,2011-05-30,2011-06-13,3,54,18
20762,2010-12-20,2011-01-10,4,39,26
20762,2011-03-28,2011-05-02,6,47,18
20762,2011-07-25,2011-08-08,3,54,11
20763,2010-04-19,2010-05-10,4,12,35
20763,2010-06-07,2010-06-21,3,14,33
20763,2010-08-30,2010-09-20,4,20,27
20763,2011-01-24,2011-02-07,3,31,16
20763,2011-03-07,2011-04-18,7,33,14
20763,2011-05-02,2011-05-30,5,34,13
20763,2011-07-25,2011-08-08,3,38,9
20763,2011-09-26,2011-10-10,3,41,6
20764,2010-12-20,2011-01-10,4,49,30
20764,2011-03-14,2011-04-04,4,56,23
20765,2010-09-13,2010-10-04,4,28,39
20765,2010-12-27,2011-01-10,3,39,28
20765,2011-05-23,2011-06-20,5,51,16
20765,2011-09-05,2011-09-19,3,59,8
20766,2010-04-26,2010-05-10,3,17,54
20766,2011-08-22,2011-09-12,4,63,8
20767,2011-03-28,2011-04-11,3,56,25
20768,2010-12-20,2011-01-03,3,45,25
20768,2011-01-17,2011-01-31,3,46,24
20768,2011-03-28,2011-04-18,4,51,19
20768,2011-05-30,2011-06-13,3,54,16
20768,2011-08-22,2011-09-12,4,62,8
20769,2010-03-22,2010-04-12,4,11,36
20769,2010-08-30,2010-10-11,7,23,24
20769,2010-12-13,2011-01-10,5,29,18
20769,2011-04-04,2011-06-13,11,34,13
20769,2011-07-25,2011-09-12,8,39,8
20770,2011-06-06,2011-06-20,3,65,12
20770,2011-08-22,2011-09-19,5,72,5
20771,2010-12-20,2011-01-31,7,45,22
20771,2011-03-14,2011-04-18,6,48,19
20771,2011-08-01,2011-09-05,6,58,9
20771,2011-10-17,2011-10-31,3,62,5
20772,2011-01-24,2011-02-28,6,45,23
20772,2011-03-14,2011-04-11,5,46,22
20772,2011-05-30,2011-06-20,4,50,18
20773,2010-12-13,2011-01-17,6,42,15
20773,2011-03-28,2011-04-11,3,48,9
20774,2010-03-22,2010-04-19,5,14,40
20774,2010-08-09,2010-08-23,3,27,27
20774,2010-12-13,2011-01-17,6,38,16
20774,2011-04-04,2011-04-18,3,44,10
20774,2011-05-16,2011-06-13,5,46,8
20774,2011-07-11,2011-08-22,7,48,6
20775,2010-03-22,2010-04-05,3,13,42
20775,2010-05-03,2010-05-24,4,16,39
20775,2010-08-02,2010-08-23,4,22,33
20775,2010-09-27,2010-10-25,5,25,30
20775,2011-01-17,2011-02-14,5,31,24
20775,2011-03-28,2011-04-11,3,36,19
20775,2011-05-16,2011-05-30,3,38,17
20775,2011-06-27,2011-08-22,9,40,15
20777,2010-05-17,2010-05-31,3,19,49
20777,2010-12-20,2011-01-10,4,41,27
20777,2011-02-28,2011-03-14,3,45,23
20777,2011-05-30,2011-07-18,8,50,18
20778,2010-08-23,2010-09-06,3,28,14
20778,2010-12-13,2010-12-27,3,36,6
20780,2010-04-12,2010-05-10,5,14,27
20780,2010-06-14,2010-08-02,8,16,25
20780,2010-12-27,2011-02-14,8,30,11
20780,2011-03-07,2011-03-28,4,32,9
20780,2011-04-11,2011-05-30,8,33,8
20780,2011-06-13,2011-09-26,16,34,7
20780,2011-10-10,2011-10-24,3,35,6
20781,2010-04-05,2010-05-10,6,11,27
20781,2010-08-02,2010-08-16,3,16,22
20781,2010-09-27,2010-10-18,4,19,19
20781,2010-12-20,2011-01-10,4,24,14
20781,2011-02-28,2011-03-21,4,27,11
20781,2011-04-11,2011-05-16,6,29,9
20781,2011-06-20,2011-09-05,12,31,7
20781,2011-09-19,2011-10-10,4,32,6
20782,2010-03-08,2010-04-05,5,9,27
20782,2010-04-19,2010-05-10,4,10,26
20782,2010-06-28,2010-08-16,8,13,23
20782,2010-08-30,2010-09-27,5,14,22
20782,2010-12-20,2011-01-03,3,22,14
20782,2011-02-28,2011-03-28,5,27,9
20782,2011-04-11,2011-05-09,5,28,8
20782,2011-05-23,2011-06-06,3,29,7
20782,2011-07-04,2011-09-12,11,31,5
20782,2011-09-26,2011-11-07,7,32,4
20785,2010-09-06,2010-10-11,6,20,6
20785,2010-10-25,2010-12-27,10,21,5
20785,2011-01-10,2011-02-07,5,22,4
20793,2010-03-29,2010-04-12,3,8,12
20793,2010-07-05,2010-08-16,7,14,6
20793,2010-08-30,2010-11-01,10,15,5
20793,2010-11-15,2010-11-29,3,16,4
20794,2010-05-10,2010-05-24,3,8,33
20794,2010-06-14,2010-06-28,3,10,31
20794,2010-08-09,2010-09-13,6,13,28
20794,2010-10-04,2010-11-01,5,15,26
20794,2010-12-20,2011-01-03,3,19,22
20794,2011-05-23,2011-06-06,3,31,10
