StockCode,class,ABC,XYZ,weekly_demand,forecast_error,revenue,ROP_1w_90%,ROP_1w_95%,ROP_1w_99%,ROP_2w_90%,ROP_2w_95%,ROP_2w_99%,ROP_3w_90%,ROP_3w_95%,ROP_3w_99%,ROP_4w_90%,ROP_4w_95%,ROP_4w_99%,product
22502,AY,A,Y,40.55,4.2,60924.5,46.0,47.0,50.0,89.0,91.0,95.0,131.0,134.0,139.0,173.0,176.0,182.0,PICNIC BASKET WICKER SMALL
21621,AY,A,Y,70.66,19.54,60405.04,96.0,103.0,116.0,177.0,187.0,206.0,255.0,268.0,291.0,333.0,347.0,374.0,VINTAGE UNION JACK BUNTING
15056N,AY,A,Y,115.2,51.44,60169.65,181.0,200.0,235.0,324.0,350.0,400.0,460.0,493.0,553.0,593.0,631.0,701.0,EDWARDIAN PARASOL NATURAL
22114,AY,A,Y,80.37,190.59,59328.740000000005,324.0,395.0,524.0,506.0,605.0,789.0,664.0,786.0,1010.0,809.0,950.0,1210.0,HOT WATER BOTTLE TEA AND SYMPATHY
85099C,AX,A,X,288.49,125.58,59292.54,449.0,496.0,581.0,804.0,870.0,991.0,1144.0,1224.0,1372.0,1475.0,1568.0,1739.0,JUMBO  BAG BAROQUE BLACK WHITE
22910,AZ,A,Z,117.38,433.87,58696.95,673.0,833.0,1128.0,1020.0,1247.0,1664.0,1314.0,1592.0,2103.0,1580.0,1901.0,2491.0,PAPER CHAIN KIT VINTAGE CHRISTMAS
22112,AY,A,Y,81.05,128.56,58090.84,246.0,293.0,381.0,395.0,462.0,586.0,528.0,611.0,762.0,653.0,748.0,923.0,CHOCOLATE HOT WATER BOTTLE
22411,AX,A,X,249.9,131.91,57440.91,419.0,468.0,557.0,739.0,808.0,934.0,1042.0,1127.0,1282.0,1337.0,1435.0,1614.0,JUMBO SHOPPER VINTAGE RED PAISLEY
82484,AZ,A,Z,93.47,69.54,56809.03,182.0,208.0,256.0,313.0,349.0,416.0,435.0,479.0,561.0,552.0,603.0,698.0,WOOD BLACK BOARD ANT WHITE FINISH
22470,AY,A,Y,154.1,184.25,53632.98,390.0,458.0,583.0,642.0,738.0,915.0,871.0,989.0,1206.0,1088.0,1224.0,1475.0,HEART OF WICKER LARGE
22139,AY,A,Y,94.19,81.2,52971.71,198.0,228.0,283.0,335.0,378.0,456.0,463.0,515.0,610.0,585.0,645.0,755.0,RETROSPOT TEA SET CERAMIC 11 PC
22178,AY,A,Y,358.83,271.02,52607.72,706.0,806.0,990.0,1208.0,1350.0,1611.0,1677.0,1851.0,2170.0,2129.0,2330.0,2698.0,VICTORIAN GLASS HANGING T-LIGHT
20914,AX,A,X,183.56,48.79,52588.21,246.0,264.0,297.0,455.0,481.0,528.0,659.0,690.0,748.0,859.0,895.0,962.0,SET/5 RED RETROSPOT LID GLASS BOWLS
21212,AX,A,X,940.62,256.85,51873.55,1269.0,1364.0,1539.0,2346.0,2481.0,2728.0,3391.0,3556.0,3858.0,4420.0,4610.0,4959.0,PACK OF 72 RETROSPOT CAKE CASES
21733,AY,A,Y,158.75,149.08,50461.54,350.0,405.0,506.0,587.0,665.0,809.0,807.0,902.0,1078.0,1017.0,1127.0,1330.0,RED HANGING HEART T-LIGHT HOLDER
22090,AY,A,Y,169.41,58.96,50461.4,245.0,267.0,307.0,446.0,476.0,533.0,639.0,677.0,746.0,829.0,872.0,952.0,PAPER BUNTING RETROSPOT
21181,AY,A,Y,215.24,283.53,50299.84,578.0,683.0,876.0,944.0,1092.0,1365.0,1274.0,1456.0,1790.0,1587.0,1797.0,2182.0,PLEASE ONE PERSON METAL SIGN
22111,AY,A,Y,75.71,116.72,50007.59,225.0,268.0,348.0,363.0,424.0,536.0,486.0,561.0,698.0,602.0,688.0,847.0,SCOTTIE DOG HOT WATER BOTTLE
21929,AY,A,Y,251.55,135.46,49685.27,425.0,475.0,567.0,748.0,819.0,949.0,1055.0,1142.0,1301.0,1353.0,1453.0,1637.0,JUMBO BAG PINK VINTAGE PAISLEY
21232,AX,A,X,368.87,135.55,49400.57,542.0,593.0,685.0,983.0,1054.0,1184.0,1407.0,1494.0,1654.0,1822.0,1923.0,2107.0,STRAWBERRY CERAMIC TRINKET BOX
84946,AX,A,X,323.22,281.61,49391.65,684.0,788.0,979.0,1156.0,1304.0,1574.0,1594.0,1774.0,2106.0,2014.0,2222.0,2605.0,ANTIQUE SILVER TEA GLASS ETCHED
22189,AZ,A,Z,157.24,118.97,49344.39,310.0,354.0,434.0,530.0,592.0,707.0,735.0,812.0,952.0,934.0,1022.0,1183.0,CREAM HEART CARD HOLDER
15056BL,AZ,A,Z,93.85,40.34,48997.47,145.0,160.0,188.0,261.0,282.0,321.0,371.0,397.0,444.0,479.0,509.0,563.0,EDWARDIAN PARASOL BLACK
22469,AY,A,Y,240.74,260.38,48974.71,574.0,670.0,847.0,953.0,1089.0,1339.0,1300.0,1466.0,1773.0,1630.0,1822.0,2176.0,HEART OF WICKER SMALL
48194,AY,A,Y,72.42,77.07,48817.38,171.0,200.0,252.0,284.0,325.0,399.0,388.0,438.0,528.0,487.0,544.0,649.0,DOORMAT HEARTS
21731,AY,A,Y,264.51,140.19,48347.19,444.0,496.0,591.0,783.0,856.0,991.0,1104.0,1194.0,1359.0,1417.0,1521.0,1711.0,RED TOADSTOOL LED NIGHT LIGHT
22457,AY,A,Y,135.1,86.11,47536.030000000006,245.0,277.0,336.0,426.0,471.0,554.0,596.0,651.0,753.0,761.0,825.0,942.0,NATURAL SLATE HEART CHALKBOARD
82494L,AX,A,X,142.7,63.74,47061.490000000005,224.0,248.0,291.0,401.0,434.0,495.0,569.0,610.0,685.0,734.0,781.0,868.0,WOODEN FRAME ANTIQUE WHITE
21754,AX,A,X,76.2,12.51,46821.94,92.0,97.0,105.0,175.0,182.0,194.0,256.0,264.0,279.0,337.0,346.0,363.0,HOME BUILDING BLOCK WORD
48187,AY,A,Y,66.89,74.57,46643.66,162.0,190.0,241.0,269.0,308.0,380.0,366.0,414.0,502.0,458.0,514.0,615.0,DOORMAT NEW ENGLAND
21928,AX,A,X,235.31,78.52,46275.06,336.0,365.0,418.0,613.0,654.0,729.0,880.0,930.0,1023.0,1142.0,1200.0,1307.0,JUMBO BAG SCANDINAVIAN PAISLEY
21523,AY,A,Y,66.03,43.79,46114.59,122.0,138.0,168.0,211.0,234.0,276.0,295.0,323.0,375.0,376.0,409.0,468.0,DOORMAT FANCY FONT HOME SWEET HOME
22138,AY,A,Y,71.04,157.68,45966.16,273.0,331.0,438.0,428.0,510.0,662.0,563.0,664.0,849.0,688.0,805.0,1019.0,BAKING SET 9 PIECE RETROSPOT
20727,AY,A,Y,250.18,88.03,45790.57,363.0,395.0,455.0,660.0,706.0,790.0,946.0,1002.0,1106.0,1226.0,1291.0,1411.0,LUNCH BAG  BLACK SKULL.
48185,AZ,A,Z,64.45,73.07,45777.19,158.0,185.0,235.0,261.0,299.0,370.0,355.0,402.0,488.0,445.0,499.0,598.0,DOORMAT FAIRY CAKE
21623,AZ,A,Z,62.85,43.2,45441.98,118.0,134.0,164.0,204.0,227.0,268.0,284.0,312.0,363.0,362.0,394.0,453.0,VINTAGE UNION JACK MEMOBOARD
22355,AX,A,X,284.13,174.05,45426.01,507.0,571.0,690.0,883.0,974.0,1142.0,1238.0,1350.0,1555.0,1582.0,1711.0,1948.0,CHARLOTTE BAG SUKI DESIGN
71477,AY,A,Y,134.22,148.83,44708.15,325.0,380.0,481.0,538.0,616.0,759.0,733.0,828.0,1003.0,918.0,1028.0,1230.0,COLOUR GLASS. STAR T-LIGHT HOLDER
22326,AY,A,Y,139.53,89.34,44360.99,254.0,287.0,348.0,441.0,488.0,573.0,617.0,674.0,779.0,787.0,853.0,974.0,ROUND SNACK BOXES SET OF4 WOODLAND
21175,AY,A,Y,185.99,106.77,43952.28,323.0,362.0,435.0,565.0,621.0,724.0,795.0,863.0,989.0,1017.0,1096.0,1242.0,GIN + TONIC DIET METAL SIGN
84078A,AZ,A,Z,11.49,7.34,43844.96,21.0,24.0,29.0,36.0,40.0,47.0,51.0,55.0,64.0,65.0,70.0,80.0,SET/4 WHITE RETRO STORAGE CUBES
22383,AX,A,X,243.03,120.48,43346.75,397.0,442.0,524.0,704.0,767.0,883.0,996.0,1073.0,1215.0,1281.0,1370.0,1534.0,LUNCH BAG SUKI  DESIGN
84029E,AZ,A,Z,86.59,149.72,43251.79,278.0,334.0,435.0,444.0,523.0,667.0,592.0,688.0,864.0,730.0,840.0,1044.0,RED WOOLLY HOTTIE WHITE HEART.
23298,AZ,A,Z,66.28,114.61,43182.83,213.0,255.0,333.0,340.0,400.0,510.0,453.0,526.0,661.0,559.0,643.0,799.0,SPOTTY BUNTING
84997D,AY,A,Y,99.8,66.94,43029.57,185.0,210.0,256.0,321.0,356.0,420.0,448.0,491.0,570.0,571.0,620.0,711.0,PINK 3 PIECE MINI DOTS CUTLERY SET
21915,AY,A,Y,291.89,498.25,42780.79,930.0,1114.0,1453.0,1486.0,1746.0,2226.0,1980.0,2300.0,2886.0,2443.0,2812.0,3489.0,RED  HARMONICA IN BOX
20728,AY,A,Y,236.44,68.79,42349.5,324.0,350.0,397.0,597.0,633.0,700.0,862.0,906.0,987.0,1122.0,1173.0,1266.0,LUNCH BAG CARS BLUE
23203,AZ,A,Z,123.61,265.0,42067.78,463.0,561.0,741.0,727.0,866.0,1120.0,958.0,1128.0,1440.0,1173.0,1369.0,1729.0,JUMBO BAG VINTAGE DOILY
82482,AX,A,X,154.78,74.22,41957.55,250.0,277.0,328.0,444.0,483.0,554.0,629.0,676.0,764.0,809.0,864.0,965.0,WOODEN PICTURE FRAME WHITE FINISH
20713,AY,A,Y,183.47,177.13,40724.25,410.0,476.0,596.0,688.0,780.0,951.0,943.0,1057.0,1265.0,1187.0,1318.0,1559.0,JUMBO BAG OWLS
22083,AY,A,Y,133.03,36.02,40535.47,179.0,192.0,217.0,331.0,350.0,385.0,479.0,502.0,544.0,624.0,651.0,700.0,PAPER CHAIN KIT RETROSPOT
85066,AY,A,Y,26.13,29.1,38854.98,63.0,74.0,94.0,105.0,120.0,148.0,143.0,162.0,196.0,179.0,201.0,240.0,CREAM SWEETHEART MINI CHEST
84997B,AY,A,Y,91.86,54.05,38848.14,161.0,181.0,218.0,282.0,310.0,362.0,395.0,430.0,494.0,506.0,546.0,619.0,RED 3 PIECE MINI DOTS CUTLERY SET
20726,AY,A,Y,216.08,77.53,38572.74,315.0,344.0,397.0,572.0,613.0,688.0,820.0,870.0,961.0,1063.0,1120.0,1226.0,LUNCH BAG WOODLAND
82486,AX,A,X,44.2,19.4,38430.03,69.0,76.0,89.0,124.0,134.0,152.0,176.0,188.0,211.0,226.0,241.0,267.0,WOOD S/3 CABINET ANT WHITE FINISH
22960,AY,A,Y,68.63,81.0,38426.86,172.0,202.0,257.0,284.0,326.0,404.0,385.0,437.0,533.0,482.0,542.0,652.0,JAM MAKING SET WITH JARS
22699,AY,A,Y,114.92,70.35,38323.25,205.0,231.0,279.0,357.0,394.0,462.0,501.0,546.0,629.0,640.0,692.0,788.0,ROSES REGENCY TEACUP AND SAUCER
21166,AY,A,Y,167.19,215.15,38270.810000000005,443.0,522.0,669.0,724.0,836.0,1043.0,979.0,1116.0,1370.0,1220.0,1379.0,1671.0,COOK WITH WINE METAL SIGN
23284,AZ,A,Z,24.66,236.74,38166.64,328.0,415.0,576.0,478.0,602.0,829.0,599.0,751.0,1029.0,705.0,880.0,1202.0,DOORMAT KEEP CALM AND COME IN
22720,AZ,A,Z,54.33,90.45,38158.39,170.0,204.0,265.0,272.0,320.0,407.0,364.0,421.0,528.0,449.0,516.0,639.0,SET OF 3 CAKE TINS PANTRY DESIGN
22629,AY,A,Y,185.0,90.22,38014.0,300.0,334.0,395.0,533.0,581.0,667.0,755.0,813.0,919.0,971.0,1038.0,1160.0,SPACEBOY LUNCH BOX
20712,AY,A,Y,157.3,104.07,37540.32,291.0,329.0,400.0,503.0,557.0,658.0,703.0,769.0,892.0,896.0,973.0,1114.0,JUMBO BAG WOODLAND ANIMALS
21485,AY,A,Y,60.1,116.36,37334.12,209.0,252.0,331.0,331.0,392.0,504.0,438.0,513.0,650.0,538.0,624.0,783.0,RETROSPOT HEART HOT WATER BOTTLE
22727,AZ,A,Z,60.58,154.45,36618.77,258.0,315.0,420.0,401.0,482.0,630.0,524.0,623.0,805.0,638.0,752.0,962.0,ALARM CLOCK BAKELIKE RED
22328,AY,A,Y,125.09,45.05,36270.61,183.0,199.0,230.0,332.0,355.0,399.0,475.0,504.0,557.0,616.0,649.0,710.0,ROUND SNACK BOXES SET OF 4 FRUITS
21524,AY,A,Y,50.62,25.57,36057.55,83.0,93.0,110.0,148.0,161.0,186.0,209.0,225.0,255.0,268.0,287.0,322.0,DOORMAT SPOTTY HOME SWEET HOME
84997C,AY,A,Y,84.37,52.74,35748.38,152.0,171.0,207.0,264.0,292.0,343.0,370.0,404.0,466.0,472.0,512.0,583.0,BLUE 3 PIECE MINI DOTS CUTLERY SET
20724,AX,A,X,283.76,146.24,35227.61,471.0,525.0,625.0,832.0,909.0,1049.0,1176.0,1269.0,1441.0,1509.0,1618.0,1817.0,RED RETROSPOT CHARLOTTE BAG
21755,AX,A,X,56.81,14.54,35121.62,75.0,81.0,91.0,140.0,148.0,162.0,203.0,212.0,229.0,264.0,275.0,295.0,LOVE BUILDING BLOCK WORD
22379,AY,A,Y,146.99,94.77,34682.84,268.0,303.0,368.0,466.0,515.0,606.0,651.0,712.0,823.0,831.0,901.0,1030.0,RECYCLING BAG RETROSPOT
22382,AX,A,X,184.43,95.48,34187.47,307.0,342.0,407.0,542.0,592.0,683.0,765.0,826.0,939.0,982.0,1053.0,1183.0,LUNCH BAG SPACEBOY DESIGN
22384,AX,A,X,202.39,106.27,34166.34,338.0,378.0,450.0,597.0,653.0,755.0,843.0,911.0,1036.0,1082.0,1160.0,1305.0,LUNCH BAG PINK POLKADOT
22666,AY,A,Y,79.8,154.29,33744.57,277.0,334.0,439.0,439.0,520.0,668.0,581.0,680.0,862.0,714.0,828.0,1038.0,RECIPE BOX PANTRY YELLOW DESIGN
22630,AY,A,Y,165.68,86.7,33437.38,277.0,309.0,368.0,488.0,534.0,617.0,689.0,745.0,847.0,885.0,949.0,1067.0,DOLLY GIRL LUNCH BOX
15036,AY,A,Y,453.3,280.77,32967.03,813.0,917.0,1108.0,1415.0,1562.0,1832.0,1982.0,2162.0,2493.0,2532.0,2740.0,3122.0,ASSORTED COLOURS SILK FAN
22726,AY,A,Y,51.51,89.23,32680.57,166.0,199.0,259.0,265.0,311.0,397.0,352.0,410.0,515.0,434.0,500.0,622.0,ALARM CLOCK BAKELIKE GREEN
22385,AY,A,Y,157.47,94.96,32447.67,279.0,314.0,379.0,487.0,537.0,628.0,683.0,744.0,856.0,873.0,943.0,1072.0,JUMBO BAG SPACEBOY DESIGN
22865,AZ,A,Z,90.82,269.26,31592.44,435.0,535.0,718.0,669.0,810.0,1069.0,869.0,1042.0,1359.0,1053.0,1252.0,1618.0,HAND WARMER OWL DESIGN
22077,AX,A,X,148.08,98.03,31584.66,274.0,310.0,376.0,474.0,525.0,619.0,662.0,724.0,840.0,843.0,916.0,1049.0,6 RIBBONS RUSTIC CHARM
85152,AY,A,Y,142.2,163.65,31571.9,352.0,412.0,523.0,581.0,666.0,824.0,789.0,894.0,1087.0,988.0,1109.0,1331.0,HAND OVER THE CHOCOLATE   SIGN
85014B,AZ,A,Z,58.42,33.22,31303.7,101.0,113.0,136.0,177.0,194.0,226.0,249.0,270.0,309.0,319.0,343.0,388.0,RED RETROSPOT UMBRELLA
48184,AY,A,Y,42.09,51.43,31194.96,108.0,127.0,162.0,177.0,204.0,254.0,240.0,273.0,334.0,300.0,338.0,408.0,DOORMAT ENGLISH ROSE
23245,AZ,A,Z,39.63,65.54,31177.95,124.0,148.0,192.0,198.0,232.0,295.0,264.0,306.0,383.0,326.0,375.0,464.0,SET OF 3 REGENCY CAKE TINS
21479,AZ,A,Z,47.76,110.27,31137.050000000003,189.0,230.0,305.0,295.0,353.0,459.0,388.0,458.0,588.0,473.0,555.0,705.0,WHITE SKULL HOT WATER BOTTLE
22697,AY,A,Y,84.13,59.87,30528.300000000003,161.0,183.0,224.0,277.0,308.0,366.0,385.0,423.0,494.0,490.0,534.0,615.0,GREEN REGENCY TEACUP AND SAUCER
23199,AZ,A,Z,110.81,208.96,30475.65,378.0,456.0,598.0,600.0,709.0,910.0,796.0,930.0,1176.0,978.0,1133.0,1417.0,JUMBO BAG APPLES
22501,AZ,A,Z,27.44,5.39,30399.06,34.0,36.0,40.0,65.0,67.0,73.0,94.0,98.0,104.0,124.0,128.0,135.0,PICNIC BASKET WICKER LARGE
20679,AZ,A,Z,59.94,23.21,30038.82,90.0,98.0,114.0,162.0,174.0,196.0,231.0,246.0,273.0,299.0,316.0,348.0,EDWARDIAN PARASOL RED
21217,AY,A,Y,28.86,9.91,29858.79,42.0,45.0,52.0,76.0,81.0,90.0,109.0,115.0,127.0,141.0,148.0,162.0,RED SPOTTY ROUND CAKE TINS
84029G,AZ,A,Z,57.95,66.22,29661.23,143.0,167.0,212.0,236.0,270.0,334.0,321.0,363.0,441.0,401.0,450.0,540.0,KNITTED UNION FLAG HOT WATER BOTTLE
22659,AY,A,Y,145.41,121.58,29596.96,301.0,346.0,429.0,511.0,575.0,691.0,706.0,784.0,927.0,893.0,983.0,1148.0,LUNCH BOX I LOVE LONDON
47590B,AY,A,Y,57.6,24.98,29558.86,90.0,99.0,116.0,160.0,173.0,198.0,228.0,244.0,274.0,294.0,313.0,347.0,PINK HAPPY BIRTHDAY BUNTING
22622,AZ,A,Z,26.52,24.39,29470.01,58.0,67.0,83.0,97.0,110.0,133.0,134.0,149.0,178.0,169.0,187.0,220.0,BOX OF VINTAGE ALPHABET BLOCKS
22158,AZ,A,Z,72.11,119.45,29451.98,225.0,269.0,350.0,360.0,423.0,538.0,481.0,558.0,698.0,594.0,683.0,845.0,3 HEARTS HANGING DECORATION RUSTIC
82483,AX,A,X,44.68,25.19,29202.82,77.0,86.0,103.0,135.0,148.0,172.0,190.0,206.0,236.0,243.0,262.0,296.0,WOOD 2 DRAWER CABINET WHITE FINISH
48188,AZ,A,Z,48.85,42.41,28662.03,103.0,119.0,148.0,174.0,197.0,237.0,241.0,268.0,318.0,304.0,335.0,393.0,DOORMAT WELCOME PUPPIES
20971,AZ,A,Z,163.47,439.33,28642.22,726.0,888.0,1187.0,1122.0,1352.0,1775.0,1464.0,1746.0,2263.0,1779.0,2104.0,2701.0,PINK BLUE FELT CRAFT TRINKET BOX
84978,AX,A,X,208.26,97.24,28580.96,333.0,369.0,435.0,593.0,643.0,737.0,840.0,903.0,1017.0,1082.0,1154.0,1286.0,HANGING HEART JAR T-LIGHT HOLDER
22866,AZ,A,Z,83.2,193.4,28344.570000000003,331.0,402.0,534.0,517.0,618.0,804.0,678.0,802.0,1030.0,828.0,971.0,1234.0,HAND WARMER SCOTTY DOG DESIGN
22467,AY,A,Y,99.16,105.62,28278.78,234.0,273.0,345.0,390.0,445.0,546.0,532.0,599.0,724.0,667.0,745.0,889.0,GUMBALL COAT RACK
22752,AZ,A,Z,30.26,39.81,28207.45,81.0,96.0,123.0,133.0,153.0,192.0,179.0,205.0,251.0,223.0,252.0,307.0,SET 7 BABUSHKA NESTING BOXES
21977,AX,A,X,556.43,296.91,28159.08,936.0,1046.0,1248.0,1650.0,1806.0,2091.0,2328.0,2518.0,2868.0,2986.0,3206.0,3609.0,PACK OF 60 PINK PAISLEY CAKE CASES
22188,AZ,A,Z,103.04,97.87,28115.98,228.0,265.0,331.0,383.0,434.0,529.0,526.0,589.0,704.0,663.0,735.0,868.0,BLACK HEART CARD HOLDER
82583,AY,A,Y,103.89,159.83,28103.79,308.0,368.0,476.0,497.0,581.0,734.0,666.0,768.0,957.0,825.0,943.0,1160.0,HOT BATHS METAL SIGN
23201,AZ,A,Z,85.58,192.2,27890.17,332.0,403.0,533.0,519.0,620.0,804.0,683.0,806.0,1032.0,834.0,977.0,1238.0,JUMBO BAG ALPHABET
22492,AY,A,Y,377.16,351.9,27864.390000000003,828.0,958.0,1197.0,1391.0,1575.0,1914.0,1912.0,2137.0,2552.0,2409.0,2670.0,3148.0,MINI PAINT SET VINTAGE
20719,AX,A,X,227.63,70.8,27634.12,318.0,344.0,393.0,583.0,620.0,689.0,840.0,885.0,969.0,1092.0,1144.0,1240.0,WOODLAND CHARLOTTE BAG
47566B,AY,A,Y,63.67,15.06,27598.2,83.0,89.0,99.0,155.0,162.0,177.0,224.0,234.0,252.0,293.0,304.0,325.0,TEA TIME PARTY BUNTING
22624,AY,A,Y,28.17,27.33,27500.33,63.0,73.0,92.0,106.0,120.0,146.0,145.0,163.0,195.0,183.0,203.0,240.0,IVORY KITCHEN SCALES
21930,AX,A,X,122.55,73.8,27402.79,217.0,244.0,295.0,379.0,417.0,488.0,531.0,579.0,665.0,679.0,734.0,834.0,JUMBO STORAGE BAG SKULLS
72741,AY,A,Y,190.01,100.38,27333.71,318.0,356.0,424.0,562.0,614.0,711.0,793.0,857.0,975.0,1017.0,1091.0,1228.0,GRAND CHOCOLATECANDLE
22835,AZ,A,Z,35.69,77.35,27277.54,135.0,163.0,216.0,211.0,252.0,326.0,279.0,328.0,419.0,341.0,398.0,503.0,HOT WATER BOTTLE I AM SO POORLY
84991,AX,A,X,534.57,183.0,27122.96,769.0,837.0,961.0,1400.0,1496.0,1672.0,2009.0,2127.0,2342.0,2607.0,2742.0,2991.0,60 TEATIME FAIRY CAKE CASES
22961,AY,A,Y,129.24,142.73,26910.18,312.0,365.0,462.0,517.0,592.0,729.0,704.0,796.0,964.0,882.0,988.0,1182.0,JAM MAKING SET PRINTED
20750,AX,A,X,34.44,16.34,26906.38,55.0,61.0,73.0,98.0,107.0,123.0,140.0,150.0,169.0,180.0,192.0,214.0,RED RETROSPOT MINI CASES
71459,AY,A,Y,329.46,134.41,26840.79,502.0,551.0,643.0,902.0,973.0,1102.0,1286.0,1373.0,1531.0,1662.0,1761.0,1944.0,HANGING JAM JAR T-LIGHT HOLDER
22734,AZ,A,Z,75.08,160.73,26785.51,281.0,340.0,450.0,441.0,525.0,680.0,582.0,685.0,874.0,712.0,831.0,1049.0,SET OF 6 RIBBONS VINTAGE CHRISTMAS
22149,AY,A,Y,111.67,192.54,26281.97,358.0,429.0,560.0,572.0,673.0,858.0,762.0,885.0,1112.0,940.0,1082.0,1344.0,FELTCRAFT 6 FLOWER FRIENDS
22867,AZ,A,Z,80.35,163.79,26161.730000000003,290.0,351.0,462.0,457.0,543.0,700.0,604.0,709.0,902.0,741.0,862.0,1085.0,HAND WARMER BIRD DESIGN
48111,AZ,A,Z,38.7,43.19,26030.42,94.0,110.0,139.0,156.0,178.0,220.0,212.0,240.0,290.0,265.0,297.0,356.0,DOORMAT 3 SMILEY CATS
22551,AY,A,Y,137.96,74.87,25970.62,234.0,261.0,312.0,411.0,451.0,523.0,580.0,628.0,716.0,744.0,799.0,901.0,PLASTERS IN TIN SPACEBOY
82600,AY,A,Y,114.99,188.22,25780.29,356.0,426.0,554.0,571.0,669.0,850.0,762.0,883.0,1105.0,942.0,1081.0,1337.0,NO SINGING METAL SIGN
20711,AY,A,Y,124.73,73.01,25723.03,218.0,245.0,295.0,382.0,420.0,490.0,536.0,583.0,669.0,686.0,740.0,839.0,JUMBO BAG TOYS
21481,AY,A,Y,72.89,59.66,25677.25,149.0,171.0,212.0,254.0,285.0,342.0,351.0,389.0,459.0,444.0,488.0,570.0,FAWN BLUE HOT WATER BOTTLE
