StockCode,product,ABC,XYZ,class,revenue,units,weeks_active,cv,is_forecastable,revenue_rank,cumulative_revenue,cumulative_revenue_pct,sku_pct,policy_note
22457,NATURAL SLATE HEART CHALKBOARD,A,Y,AY,47536.03,15457,86,0.831,1,47,3699466.39,18.779,0.995,"Moderate safety stock, review monthly"
82494L,WOODEN FRAME ANTIQUE WHITE,A,X,AX,47061.49,15711,98,0.589,1,48,3746527.88,19.018,1.016,"Tight reorder point, low safety stock — forecast works"
21754,HOME BUILDING BLOCK WORD,A,X,AX,46821.94,7646,104,0.504,1,49,3793349.82,19.256,1.037,"Tight reorder point, low safety stock — forecast works"
48187,DOORMAT NEW ENGLAND,A,Y,AY,46643.66,7344,97,1.41,1,50,3839993.48,19.493,1.058,"Moderate safety stock, review monthly"
21928,JUMBO BAG SCANDINAVIAN PAISLEY,A,X,AX,46275.06,24305,102,0.692,1,51,3886268.54,19.728,1.08,"Tight reorder point, low safety stock — forecast works"
21523,DOORMAT FANCY FONT HOME SWEET HOME,A,Y,AY,46114.59,6920,102,1.321,1,52,3932383.13,19.962,1.101,"Moderate safety stock, review monthly"
22138,BAKING SET 9 PIECE RETROSPOT,A,Y,AY,45966.16,9383,99,0.887,1,53,3978349.29,20.195,1.122,"Moderate safety stock, review monthly"
20727,LUNCH BAG  BLACK SKULL.,A,Y,AY,45790.57,26760,104,1.063,1,54,4024139.86,20.427,1.143,"Moderate safety stock, review monthly"
48185,DOORMAT FAIRY CAKE,A,Z,AZ,45777.19,6829,104,1.855,1,55,4069917.05,20.66,1.164,High revenue but erratic — expensive to protect
21623,VINTAGE UNION JACK MEMOBOARD,A,Z,AZ,45441.98,6169,92,2.67,1,56,4115359.03,20.89,1.185,High revenue but erratic — expensive to protect
22355,CHARLOTTE BAG SUKI DESIGN,A,X,AX,45426.01,32013,104,0.543,1,57,4160785.04,21.121,1.207,"Tight reorder point, low safety stock — forecast works"
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,A,Y,AY,44708.15,15097,88,1.485,1,58,4205493.19,21.348,1.228,"Moderate safety stock, review monthly"
22326,ROUND SNACK BOXES SET OF4 WOODLAND,A,Y,AY,44360.99,15481,95,0.775,1,59,4249854.18,21.573,1.249,"Moderate safety stock, review monthly"
21175,GIN + TONIC DIET METAL SIGN,A,Y,AY,43952.28,20721,99,1.468,1,60,4293806.46,21.796,1.27,"Moderate safety stock, review monthly"
84078A,SET/4 WHITE RETRO STORAGE CUBES,A,Z,AZ,43844.96,1128,97,1.69,1,61,4337651.42,22.019,1.291,High revenue but erratic — expensive to protect
22383,LUNCH BAG SUKI  DESIGN,A,X,AX,43346.75,25114,98,0.616,1,62,4380998.17,22.239,1.312,"Tight reorder point, low safety stock — forecast works"
84029E,RED WOOLLY HOTTIE WHITE HEART.,A,Z,AZ,43251.79,10701,97,1.684,1,63,4424249.96,22.458,1.334,High revenue but erratic — expensive to protect
23298,SPOTTY BUNTING,A,Z,AZ,43182.83,8473,32,1.821,1,64,4467432.79,22.678,1.355,High revenue but erratic — expensive to protect
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,A,Y,AY,43029.57,11039,99,0.922,1,65,4510462.36,22.896,1.376,"Moderate safety stock, review monthly"
21915,RED  HARMONICA IN BOX,A,Y,AY,42780.79,36382,91,1.33,1,66,4553243.15,23.113,1.397,"Moderate safety stock, review monthly"
20728,LUNCH BAG CARS BLUE,A,Y,AY,42349.5,24644,104,1.088,1,67,4595592.65,23.328,1.418,"Moderate safety stock, review monthly"
23203,JUMBO BAG VINTAGE DOILY,A,Z,AZ,42067.78,20503,32,1.797,1,68,4637660.43,23.542,1.439,High revenue but erratic — expensive to protect
82482,WOODEN PICTURE FRAME WHITE FINISH,A,X,AX,41957.55,16959,95,0.669,1,69,4679617.98,23.755,1.461,"Tight reorder point, low safety stock — forecast works"
20713,JUMBO BAG OWLS,A,Y,AY,40724.25,20843,91,0.908,1,70,4720342.23,23.961,1.482,"Moderate safety stock, review monthly"
22083,PAPER CHAIN KIT RETROSPOT,A,Y,AY,40535.47,13763,104,0.881,1,71,4760877.7,24.167,1.503,"Moderate safety stock, review monthly"
85066,CREAM SWEETHEART MINI CHEST,A,Y,AY,38854.98,3111,100,0.945,1,72,4799732.68,24.364,1.524,"Moderate safety stock, review monthly"
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,A,Y,AY,38848.14,9781,104,0.812,1,73,4838580.82,24.562,1.545,"Moderate safety stock, review monthly"
20726,LUNCH BAG WOODLAND,A,Y,AY,38572.74,22158,104,1.192,1,74,4877153.56,24.757,1.566,"Moderate safety stock, review monthly"
82486,WOOD S/3 CABINET ANT WHITE FINISH,A,X,AX,38430.03,4774,104,0.564,1,75,4915583.59,24.953,1.588,"Tight reorder point, low safety stock — forecast works"
22960,JAM MAKING SET WITH JARS,A,Y,AY,38426.86,9030,54,1.269,1,76,4954010.45,25.148,1.609,"Moderate safety stock, review monthly"
22699,ROSES REGENCY TEACUP AND SAUCER,A,Y,AY,38323.25,13095,69,1.069,1,77,4992333.7,25.342,1.63,"Moderate safety stock, review monthly"
21166,COOK WITH WINE METAL SIGN,A,Y,AY,38270.81,19997,96,1.107,1,78,5030604.51,25.536,1.651,"Moderate safety stock, review monthly"
23284,DOORMAT KEEP CALM AND COME IN,A,Z,AZ,38166.64,5491,28,2.643,1,79,5068771.15,25.73,1.672,High revenue but erratic — expensive to protect
22720,SET OF 3 CAKE TINS PANTRY DESIGN,A,Z,AZ,38158.39,7493,50,1.722,1,80,5106929.54,25.924,1.693,High revenue but erratic — expensive to protect
22629,SPACEBOY LUNCH BOX,A,Y,AY,38014.0,20837,75,0.974,1,81,5144943.54,26.117,1.715,"Moderate safety stock, review monthly"
20712,JUMBO BAG WOODLAND ANIMALS,A,Y,AY,37540.32,17731,97,0.774,1,82,5182483.86,26.307,1.736,"Moderate safety stock, review monthly"
21485,RETROSPOT HEART HOT WATER BOTTLE,A,Y,AY,37334.12,7648,100,1.343,1,83,5219817.98,26.497,1.757,"Moderate safety stock, review monthly"
22727,ALARM CLOCK BAKELIKE RED,A,Z,AZ,36618.77,9254,63,1.603,1,84,5256436.75,26.683,1.778,High revenue but erratic — expensive to protect
22328,ROUND SNACK BOXES SET OF 4 FRUITS,A,Y,AY,36270.61,12993,99,1.284,1,85,5292707.36,26.867,1.799,"Moderate safety stock, review monthly"
21524,DOORMAT SPOTTY HOME SWEET HOME,A,Y,AY,36057.55,5268,104,1.07,1,86,5328764.91,27.05,1.82,"Moderate safety stock, review monthly"
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,A,Y,AY,35748.38,9164,103,0.963,1,87,5364513.29,27.231,1.842,"Moderate safety stock, review monthly"
20724,RED RETROSPOT CHARLOTTE BAG,A,X,AX,35227.61,32241,104,0.49,1,88,5399740.9,27.41,1.863,"Tight reorder point, low safety stock — forecast works"
21755,LOVE BUILDING BLOCK WORD,A,X,AX,35121.62,5691,104,0.544,1,89,5434862.52,27.589,1.884,"Tight reorder point, low safety stock — forecast works"
22379,RECYCLING BAG RETROSPOT,A,Y,AY,34682.84,15785,97,1.01,1,90,5469545.36,27.765,1.905,"Moderate safety stock, review monthly"
22382,LUNCH BAG SPACEBOY DESIGN,A,X,AX,34187.47,20318,98,0.554,1,91,5503732.83,27.938,1.926,"Tight reorder point, low safety stock — forecast works"
22384,LUNCH BAG PINK POLKADOT,A,X,AX,34166.34,20830,97,0.636,1,92,5537899.17,28.112,1.948,"Tight reorder point, low safety stock — forecast works"
22666,RECIPE BOX PANTRY YELLOW DESIGN,A,Y,AY,33744.57,10727,74,1.168,1,93,5571643.74,28.283,1.969,"Moderate safety stock, review monthly"
22630,DOLLY GIRL LUNCH BOX,A,Y,AY,33437.38,18087,75,1.082,1,94,5605081.12,28.453,1.99,"Moderate safety stock, review monthly"
15036,ASSORTED COLOURS SILK FAN,A,Y,AY,32967.03,44272,102,1.222,1,95,5638048.15,28.62,2.011,"Moderate safety stock, review monthly"
22726,ALARM CLOCK BAKELIKE GREEN,A,Y,AY,32680.57,7690,59,1.353,1,96,5670728.72,28.786,2.032,"Moderate safety stock, review monthly"
22385,JUMBO BAG SPACEBOY DESIGN,A,Y,AY,32447.67,17064,97,0.879,1,97,5703176.39,28.951,2.053,"Moderate safety stock, review monthly"
22865,HAND WARMER OWL DESIGN,A,Z,AZ,31592.44,14621,47,1.968,1,98,5734768.83,29.111,2.075,High revenue but erratic — expensive to protect
22077,6 RIBBONS RUSTIC CHARM,A,X,AX,31584.66,17281,95,0.694,1,99,5766353.49,29.271,2.096,"Tight reorder point, low safety stock — forecast works"
85152,HAND OVER THE CHOCOLATE   SIGN,A,Y,AY,31571.9,16415,101,0.792,1,100,5797925.39,29.431,2.117,"Moderate safety stock, review monthly"
85014B,RED RETROSPOT UMBRELLA,A,Z,AZ,31303.7,6200,104,2.044,1,101,5829229.09,29.59,2.138,High revenue but erratic — expensive to protect
48184,DOORMAT ENGLISH ROSE,A,Y,AY,31194.96,4722,94,1.371,1,102,5860424.05,29.749,2.159,"Moderate safety stock, review monthly"
23245,SET OF 3 REGENCY CAKE TINS,A,Z,AZ,31177.95,6357,27,2.044,1,103,5891602.0,29.907,2.18,High revenue but erratic — expensive to protect
21479,WHITE SKULL HOT WATER BOTTLE,A,Z,AZ,31137.05,6234,59,1.859,1,104,5922739.05,30.065,2.202,High revenue but erratic — expensive to protect
22697,GREEN REGENCY TEACUP AND SAUCER,A,Y,AY,30528.3,9830,69,0.895,1,105,5953267.35,30.22,2.223,"Moderate safety stock, review monthly"
23199,JUMBO BAG APPLES,A,Z,AZ,30475.65,14920,35,1.677,1,106,5983743.0,30.375,2.244,High revenue but erratic — expensive to protect
22501,PICNIC BASKET WICKER LARGE,A,Z,AZ,30399.06,2618,75,1.6,1,107,6014142.06,30.529,2.265,High revenue but erratic — expensive to protect
20679,EDWARDIAN PARASOL RED,A,Z,AZ,30038.82,6152,103,2.375,1,108,6044180.88,30.682,2.286,High revenue but erratic — expensive to protect
21217,RED SPOTTY ROUND CAKE TINS,A,Y,AY,29858.79,2913,103,0.831,1,109,6074039.67,30.833,2.307,"Moderate safety stock, review monthly"
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,A,Z,AZ,29661.23,6866,101,1.538,1,110,6103700.9,30.984,2.329,High revenue but erratic — expensive to protect
22659,LUNCH BOX I LOVE LONDON,A,Y,AY,29596.96,15959,76,1.179,1,111,6133297.86,31.134,2.35,"Moderate safety stock, review monthly"
47590B,PINK HAPPY BIRTHDAY BUNTING,A,Y,AY,29558.86,5761,100,1.068,1,112,6162856.72,31.284,2.371,"Moderate safety stock, review monthly"
22622,BOX OF VINTAGE ALPHABET BLOCKS,A,Z,AZ,29470.01,2947,83,1.501,1,113,6192326.73,31.434,2.392,High revenue but erratic — expensive to protect
22158,3 HEARTS HANGING DECORATION RUSTIC,A,Z,AZ,29451.98,9071,74,1.81,1,114,6221778.71,31.583,2.413,High revenue but erratic — expensive to protect
82483,WOOD 2 DRAWER CABINET WHITE FINISH,A,X,AX,29202.82,4909,95,0.746,1,115,6250981.53,31.731,2.434,"Tight reorder point, low safety stock — forecast works"
23355,HOT WATER BOTTLE KEEP CALM,A,Z,AZ,28842.55,5841,16,2.599,0,116,6279824.08,31.878,2.456,High revenue but erratic — expensive to protect
48188,DOORMAT WELCOME PUPPIES,A,Z,AZ,28662.03,4875,103,1.958,1,117,6308486.11,32.023,2.477,High revenue but erratic — expensive to protect
20971,PINK BLUE FELT CRAFT TRINKET BOX,A,Z,AZ,28642.22,22309,104,1.7,1,118,6337128.33,32.169,2.498,High revenue but erratic — expensive to protect
84978,HANGING HEART JAR T-LIGHT HOLDER,A,X,AX,28580.96,21773,103,0.527,1,119,6365709.29,32.314,2.519,"Tight reorder point, low safety stock — forecast works"
22866,HAND WARMER SCOTTY DOG DESIGN,A,Z,AZ,28344.57,12815,36,2.071,1,120,6394053.86,32.458,2.54,High revenue but erratic — expensive to protect
22467,GUMBALL COAT RACK,A,Y,AY,28278.78,11954,77,0.963,1,121,6422332.64,32.601,2.561,"Moderate safety stock, review monthly"
22752,SET 7 BABUSHKA NESTING BOXES,A,Z,AZ,28207.45,3467,69,1.638,1,122,6450540.09,32.744,2.583,High revenue but erratic — expensive to protect
21977,PACK OF 60 PINK PAISLEY CAKE CASES,A,X,AX,28159.08,56230,104,0.722,1,123,6478699.17,32.887,2.604,"Tight reorder point, low safety stock — forecast works"
22188,BLACK HEART CARD HOLDER,A,Z,AZ,28115.98,10354,97,2.48,1,124,6506815.15,33.03,2.625,High revenue but erratic — expensive to protect
82583,HOT BATHS METAL SIGN,A,Y,AY,28103.79,12935,99,0.932,1,125,6534918.94,33.173,2.646,"Moderate safety stock, review monthly"
23201,JUMBO BAG ALPHABET,A,Z,AZ,27890.17,13379,35,1.706,1,126,6562809.11,33.314,2.667,High revenue but erratic — expensive to protect
22492,MINI PAINT SET VINTAGE,A,Y,AY,27864.39,43618,83,0.933,1,127,6590673.5,33.456,2.688,"Moderate safety stock, review monthly"
20719,WOODLAND CHARLOTTE BAG,A,X,AX,27634.12,24521,103,0.516,1,128,6618307.62,33.596,2.71,"Tight reorder point, low safety stock — forecast works"
47566B,TEA TIME PARTY BUNTING,A,Y,AY,27598.2,6020,90,1.276,1,129,6645905.82,33.736,2.731,"Moderate safety stock, review monthly"
22624,IVORY KITCHEN SCALES,A,Y,AY,27500.33,3178,79,0.849,1,130,6673406.15,33.876,2.752,"Moderate safety stock, review monthly"
21930,JUMBO STORAGE BAG SKULLS,A,X,AX,27402.79,13407,104,0.688,1,131,6700808.94,34.015,2.773,"Tight reorder point, low safety stock — forecast works"
72741,GRAND CHOCOLATECANDLE,A,Y,AY,27333.71,19777,103,1.074,1,132,6728142.65,34.153,2.794,"Moderate safety stock, review monthly"
22835,HOT WATER BOTTLE I AM SO POORLY,A,Z,AZ,27277.54,5342,64,1.575,1,133,6755420.19,34.292,2.815,High revenue but erratic — expensive to protect
84991,60 TEATIME FAIRY CAKE CASES,A,X,AX,27122.96,54205,104,0.642,1,134,6782543.15,34.43,2.837,"Tight reorder point, low safety stock — forecast works"
22961,JAM MAKING SET PRINTED,A,Y,AY,26910.18,17267,55,1.345,1,135,6809453.33,34.566,2.858,"Moderate safety stock, review monthly"
20750,RED RETROSPOT MINI CASES,A,X,AX,26906.38,3693,103,0.615,1,136,6836359.71,34.703,2.879,"Tight reorder point, low safety stock — forecast works"
71459,HANGING JAM JAR T-LIGHT HOLDER,A,Y,AY,26840.79,33109,103,0.894,1,137,6863200.5,34.839,2.9,"Moderate safety stock, review monthly"
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,A,Z,AZ,26785.51,9780,44,2.515,1,138,6889986.01,34.975,2.921,High revenue but erratic — expensive to protect
22149,FELTCRAFT 6 FLOWER FRIENDS,A,Y,AY,26281.97,12704,98,1.174,1,139,6916267.98,35.108,2.942,"Moderate safety stock, review monthly"
22867,HAND WARMER BIRD DESIGN,A,Z,AZ,26161.73,11893,39,2.037,1,140,6942429.71,35.241,2.964,High revenue but erratic — expensive to protect
48111,DOORMAT 3 SMILEY CATS,A,Z,AZ,26030.42,4256,102,1.815,1,141,6968460.13,35.373,2.985,High revenue but erratic — expensive to protect
22551,PLASTERS IN TIN SPACEBOY,A,Y,AY,25970.62,15476,89,0.828,1,142,6994430.75,35.505,3.006,"Moderate safety stock, review monthly"
82600,NO SINGING METAL SIGN,A,Y,AY,25780.29,12696,98,1.03,1,143,7020211.04,35.636,3.027,"Moderate safety stock, review monthly"
20711,JUMBO BAG TOYS,A,Y,AY,25723.03,12645,103,1.059,1,144,7045934.07,35.767,3.048,"Moderate safety stock, review monthly"
21481,FAWN BLUE HOT WATER BOTTLE,A,Y,AY,25677.25,8194,100,1.466,1,145,7071611.32,35.897,3.069,"Moderate safety stock, review monthly"
22507,MEMO BOARD RETROSPOT  DESIGN,A,Z,AZ,25603.46,5455,91,1.733,1,146,7097214.78,36.027,3.091,High revenue but erratic — expensive to protect
37503,TEA TIME CAKE STAND IN GIFT BOX,A,Z,AZ,25471.33,2469,34,1.901,1,147,7122686.11,36.156,3.112,High revenue but erratic — expensive to protect
22087,PAPER BUNTING WHITE LACE,A,Y,AY,25445.15,8494,75,1.188,1,148,7148131.26,36.285,3.133,"Moderate safety stock, review monthly"
21080,SET/20 RED RETROSPOT PAPER NAPKINS,A,X,AX,25435.63,31098,104,0.697,1,149,7173566.89,36.415,3.154,"Tight reorder point, low safety stock — forecast works"
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,A,Z,AZ,25435.57,12980,100,3.521,1,150,7199002.46,36.544,3.175,High revenue but erratic — expensive to protect
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,A,Y,AY,25293.53,40575,104,0.863,1,151,7224295.99,36.672,3.196,"Moderate safety stock, review monthly"
22084,PAPER CHAIN KIT EMPIRE,A,Z,AZ,25190.11,8812,91,1.676,1,152,7249486.1,36.8,3.218,High revenue but erratic — expensive to protect
21527,RED RETROSPOT TRADITIONAL TEAPOT,A,Y,AY,25087.72,3360,66,1.328,1,153,7274573.82,36.927,3.239,"Moderate safety stock, review monthly"
23173,REGENCY TEAPOT ROSES,A,Z,AZ,24918.93,2770,31,2.781,1,154,7299492.75,37.054,3.26,High revenue but erratic — expensive to protect
20972,PINK CREAM FELT CRAFT TRINKET BOX,A,Y,AY,24856.56,20553,104,1.051,1,155,7324349.31,37.18,3.281,"Moderate safety stock, review monthly"
21314,SMALL GLASS HEART TRINKET POT,A,Y,AY,24664.49,11437,104,1.105,1,156,7349013.8,37.305,3.302,"Moderate safety stock, review monthly"
84836,ZINC METAL HEART DECORATION,A,Y,AY,24531.83,20041,104,0.823,1,157,7373545.63,37.43,3.323,"Moderate safety stock, review monthly"
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,A,Y,AY,24507.53,106379,103,0.947,1,158,7398053.16,37.554,3.345,"Moderate safety stock, review monthly"
22722,SET OF 6 SPICE TINS PANTRY DESIGN,A,Z,AZ,24507.36,5984,43,2.218,1,159,7422560.52,37.678,3.366,High revenue but erratic — expensive to protect
22698,PINK REGENCY TEACUP AND SAUCER,A,Y,AY,24486.72,8231,63,1.099,1,160,7447047.24,37.803,3.387,"Moderate safety stock, review monthly"
22728,ALARM CLOCK BAKELIKE PINK,A,Z,AZ,24306.06,6228,63,1.634,1,161,7471353.3,37.926,3.408,High revenue but erratic — expensive to protect
48173C,DOORMAT BLACK FLOCK,A,Z,AZ,24295.9,4152,99,2.187,1,162,7495649.2,38.049,3.429,High revenue but erratic — expensive to protect
21231,SWEETHEART CERAMIC TRINKET BOX,A,Y,AY,24247.61,19523,96,0.85,1,163,7519896.81,38.173,3.45,"Moderate safety stock, review monthly"
47590A,BLUE HAPPY BIRTHDAY BUNTING,A,Y,AY,24201.38,4756,89,1.272,1,164,7544098.19,38.295,3.472,"Moderate safety stock, review monthly"
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,A,Z,AZ,23877.76,3162,101,1.634,1,165,7567975.95,38.417,3.493,High revenue but erratic — expensive to protect
23344,JUMBO BAG 50'S CHRISTMAS,A,Z,AZ,23815.75,10306,26,2.574,1,166,7591791.7,38.538,3.514,High revenue but erratic — expensive to protect
21955,DOORMAT UNION JACK GUNS AND ROSES,A,Z,AZ,23809.22,3921,102,2.072,1,167,7615600.92,38.658,3.535,High revenue but erratic — expensive to protect
21790,VINTAGE SNAP CARDS,A,Y,AY,23538.47,27282,104,0.757,1,168,7639139.39,38.778,3.556,"Moderate safety stock, review monthly"
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,A,Z,AZ,23514.17,4805,27,4.073,1,169,7662653.56,38.897,3.577,High revenue but erratic — expensive to protect
22605,WOODEN CROQUET GARDEN SET,A,Z,AZ,23439.57,1828,85,1.592,1,170,7686093.13,39.016,3.599,High revenue but erratic — expensive to protect
22625,RED KITCHEN SCALES,A,Y,AY,23105.35,2651,78,0.915,1,171,7709198.48,39.134,3.62,"Moderate safety stock, review monthly"
84406B,CREAM CUPID HEARTS COAT HANGER,A,Y,AY,23098.1,7134,102,0.983,1,172,7732296.58,39.251,3.641,"Moderate safety stock, review monthly"
