sku,partner,during,baseline,ratio,gap_weeks,product_absent,product_partner
21181,85152,0.333,159.625,0.002,3,PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN
21210,21212,954.2,636.375,1.499,5,SET OF 72 RETROSPOT PAPER  DOILIES,PACK OF 72 RETROSPOT CAKE CASES
21929,21928,77.4,269.0,0.288,5,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG SCANDINAVIAN PAISLEY
21929,85099F,364.0,452.25,0.805,5,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG STRAWBERRY
21929,22411,247.8,273.75,0.905,5,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO SHOPPER VINTAGE RED PAISLEY
22086,22910,4.667,7.375,0.633,3,PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS
22086,22910,2.667,4.75,0.561,3,PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS
22114,22112,26.091,58.25,0.448,22,HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE
22138,22617,47.333,70.875,0.668,3,BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN
22138,22139,199.333,119.875,1.663,3,BAKING SET 9 PIECE RETROSPOT,RETROSPOT TEA SET CERAMIC 11 PC
22139,22138,126.0,79.5,1.585,3,RETROSPOT TEA SET CERAMIC 11 PC,BAKING SET 9 PIECE RETROSPOT
22189,85123A,984.125,1053.25,0.934,8,CREAM HEART CARD HOLDER,WHITE HANGING HEART T-LIGHT HOLDER
22326,22328,130.0,129.875,1.001,3,ROUND SNACK BOXES SET OF4 WOODLAND,ROUND SNACK BOXES SET OF 4 FRUITS
22457,85123A,1091.6,877.0,1.245,5,NATURAL SLATE HEART CHALKBOARD,WHITE HANGING HEART T-LIGHT HOLDER
22469,22470,0.0,204.125,0.0,3,HEART OF WICKER SMALL,HEART OF WICKER LARGE
22469,85123A,803.667,836.375,0.961,3,HEART OF WICKER SMALL,WHITE HANGING HEART T-LIGHT HOLDER
22470,22469,22.0,206.375,0.107,4,HEART OF WICKER LARGE,HEART OF WICKER SMALL
22470,85123A,446.25,751.875,0.594,4,HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER
22470,22469,7.5,356.875,0.021,4,HEART OF WICKER LARGE,HEART OF WICKER SMALL
22470,85123A,1208.25,579.25,2.086,4,HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER
22698,22697,57.833,171.125,0.338,6,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER
22698,22699,82.833,183.875,0.45,6,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER
22698,22423,201.0,453.25,0.443,6,PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER
22726,22727,64.25,79.875,0.804,4,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED
22726,22728,50.75,43.75,1.16,4,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK
22865,22866,0.0,0.625,0.0,5,HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN
22865,22867,1.2,1.125,1.067,5,HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN
22865,22866,0.0,0.5,0.0,3,HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN
22865,22867,0.0,0.5,0.0,3,HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN
22865,22866,0.0,90.0,0.0,6,HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN
22865,22867,0.0,85.125,0.0,6,HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN
22866,22865,8.0,476.75,0.017,3,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN
22866,22867,11.667,485.625,0.024,3,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN
22866,22865,0.5,10.75,0.047,6,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN
22866,22867,1.333,0.875,1.524,6,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN
22866,22865,0.25,3.375,0.074,4,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN
22866,22867,0.0,0.625,0.0,4,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN
22866,22865,1.077,197.625,0.005,13,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN
22866,22867,0.0,85.125,0.0,13,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN
22867,22865,20.333,192.625,0.106,3,HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN
22867,22866,0.333,193.25,0.002,3,HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN
22867,22865,0.0,9.875,0.0,3,HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN
22867,22866,0.0,0.5,0.0,3,HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN
22867,22865,0.947,199.625,0.005,19,HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN
22867,22866,0.211,90.125,0.002,19,HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN
22909,22952,8.0,0.5,16.0,3,SET OF 20 VINTAGE CHRISTMAS NAPKINS,60 CAKE CASES VINTAGE CHRISTMAS
22909,22952,0.4,0.75,0.533,5,SET OF 20 VINTAGE CHRISTMAS NAPKINS,60 CAKE CASES VINTAGE CHRISTMAS
22910,22086,1.333,12.0,0.111,3,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS
22910,22086,11.5,7.375,1.559,4,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS
22910,22086,0.333,8.875,0.038,3,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS
22952,22909,3.75,13.5,0.278,4,60 CAKE CASES VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS
82482,82494L,105.778,184.875,0.572,9,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE
82482,85123A,909.0,1132.375,0.803,9,WOODEN PICTURE FRAME WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER
82483,82486,60.0,50.625,1.185,4,WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH
82483,82486,36.6,31.5,1.162,5,WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH
82494L,82482,257.333,127.25,2.022,3,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH
82494L,85123A,904.0,757.625,1.193,3,WOODEN FRAME ANTIQUE WHITE,WHITE HANGING HEART T-LIGHT HOLDER
84997D,84997C,57.8,96.0,0.602,5,PINK 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET
84997D,84997B,100.6,96.875,1.038,5,PINK 3 PIECE MINI DOTS CUTLERY SET,RED 3 PIECE MINI DOTS CUTLERY SET
