StockCode,Description,returned_units,returned_value,return_lines,units,class,return_rate_pct
84568,GIRLS ALPHABET IRON ON PATCHES,865,181.64999999999998,4,38506.0,AZ,2.25
21336,GOLD WASHBAG,865,115.27,2,1823.0,CZ,47.45
22138,BAKING SET 9 PIECE RETROSPOT,859,4052.95,209,9383.0,AY,9.15
22333,RETROSPOT PARTY BAG + STICKER SET,851,1250.55,15,10037.0,AY,8.48
11001,ASSTD DESIGN RACING CAR PEN,811,1093.39,11,4832.0,AZ,16.78
21871,SAVE THE PLANET MUG,806,892.1899999999999,25,11536.0,AY,6.99
21481,FAWN BLUE HOT WATER BOTTLE,802,2065.9,15,8194.0,AY,9.79
21086,SET/6 RED SPOTTY PAPER CUPS,792,422.64,4,16674.0,AY,4.75
21232,STRAWBERRY CERAMIC TRINKET BOX,784,925.09,183,38077.0,AX,2.06
37444C,PINK BREAKFAST CUP AND SAUCER,768,99.84,1,1656.0,CZ,46.38
22150,3 STRIPEY MICE FELTCRAFT,764,1264.8,9,7836.0,AY,9.75
21094,SET/6 RED SPOTTY PAPER PLATES,762,495.24,5,19634.0,AY,3.88
17003,BROCADE RING PURSE,740,215.78,6,70405.0,AZ,1.05
21749,LARGE RED RETROSPOT WINDMILL,732,1356.7,7,5657.0,AZ,12.94
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,729,415.35,28,40575.0,AY,1.8
21069,VINTAGE BILLBOARD TEA MUG,726,770.89,4,5108.0,AZ,14.21
23199,JUMBO BAG APPLES,723,1309.25,21,14920.0,AZ,4.85
22102,MIRROR MOSAIC T-LIGHT HOLDER,721,282.45,2,1851.0,CZ,38.95
84842,HELLO SAILOR BATHROOM SET,720,237.6,1,1506.0,CZ,47.81
23170,REGENCY TEA PLATE ROSES,718,1046.3,12,6869.0,AZ,10.45
22992,REVOLVER WOODEN RULER,716,1193.4,8,5236.0,AZ,13.67
22991,GIRAFFE WOODEN RULER,714,1185.8999999999999,6,3889.0,AZ,18.36
21704,BAG 250g SWIRLY MARBLES,702,512.07,7,17180.0,AZ,4.09
22328,ROUND SNACK BOXES SET OF 4 FRUITS,699,1812.45,24,12993.0,AY,5.38
79323P,PINK CHERRY LIGHTS,693,4021.35,86,2281.0,AZ,30.38
48185,DOORMAT FAIRY CAKE,688,4650.2,6,6829.0,AZ,10.07
37471,MULTICOLOUR POLKADOT PLATE,684,68.4,1,1405.0,CZ,48.68
22564,ALPHABET STENCIL CRAFT,679,721.07,5,4575.0,AZ,14.84
21830,ASSORTED CREEPY CRAWLIES,672,247.68,4,7706.0,BY,8.72
22149,FELTCRAFT 6 FLOWER FRIENDS,664,1244.4,22,12704.0,AY,5.23
21212,PACK OF 72 RETRO SPOT CAKE CASES,649,310.02,10,94972.0,AX,0.68
21080,SET/20 RED SPOTTY PAPER NAPKINS,631,414.96999999999997,8,31098.0,AX,2.03
85175,CACTI T-LIGHT CANDLES,629,248.82,12,15582.0,AY,4.04
21989,PACK OF 20 SKULL PAPER NAPKINS,624,409.44,3,8565.0,AZ,7.29
22950,36 DOILIES VINTAGE CHRISTMAS,612,772.2,4,8334.0,AZ,7.34
20974,12 PENCILS SMALL TUBE SKULL,612,397.79999999999995,6,13235.0,AY,4.62
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,603,949.71,6,5113.0,AZ,11.79
20725,LUNCH BAG RED RETROSPOT,596,890.4,52,40505.0,AX,1.47
23201,JUMBO BAG ALPHABET,594,1076.02,14,13379.0,AZ,4.44
22086,PAPER CHAIN KIT 50'S CHRISTMAS,590,1461.7,16,35121.0,AZ,1.68
22085,PAPER CHAIN KIT SKULLS,585,1501.75,4,2539.0,AZ,23.04
21380,WOODEN HAPPY BIRTHDAY GARLAND,582,1601.7,6,5041.0,AY,11.55
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,579,1859.07,7,966.0,BZ,59.94
21988,PACK OF 6 SKULL PAPER PLATES,576,368.64,1,7830.0,AZ,7.36
84598,BOYS ALPHABET IRON ON PATCHES,576,120.96,2,20775.0,AZ,2.77
23203,JUMBO BAG VINTAGE DOILY,568,1030.6399999999999,13,20503.0,AZ,2.77
84493,BLUE/PINK NEST STRIPE BOX,567,45.36,1,1142.0,CZ,49.65
21166,COOK WITH WINE METAL SIGN,558,967.23,17,19997.0,AY,2.79
22952,60 CAKE CASES VINTAGE CHRISTMAS,552,241.2,5,33051.0,AZ,1.67
21787,RAIN PONCHO RETROSPOT,528,420.0,3,15143.0,AZ,3.49
23167,SMALL CERAMIC TOP STORAGE JAR,525,365.19,9,5847.0,AZ,8.98
84949,SILVER HANGING T-LIGHT HOLDER,512,793.8,66,11999.0,AY,4.27
82494L,WOODEN FRAME ANTIQUE WHITE,511,1325.8500000000001,38,15711.0,AX,3.25
84879,ASSORTED COLOUR BIRD ORNAMENT,511,774.07,19,80285.0,AY,0.64
72802C,VANILLA SCENT CANDLE JEWELLED BOX,506,584.06,5,2185.0,AZ,23.16
72045D,ROSES ON BLUE TEACUP CANDLE,504,851.76,1,539.0,CZ,93.51
20663,QUEEN OF THE SKIES HOLIDAY PURSE,503,93.85,2,1074.0,CZ,46.83
22335,HEART DECORATION PAINTED ZINC,495,292.95,11,8682.0,AZ,5.7
21843,RED RETROSPOT CAKE STAND,494,4273.9,107,6155.0,AY,8.03
22699,ROSES REGENCY TEACUP AND SAUCER,491,1295.25,62,13095.0,AY,3.75
21207,SKULL AND CROSSBONES  GARLAND,489,709.25,4,3602.0,AZ,13.58
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,483,203.31,4,1764.0,BZ,27.38
16033,MINI HIGHLIGHTER PENS,480,57.6,4,15121.0,BZ,3.17
84924F,PSYCHEDELIC METAL SIGN CALENDAR,480,120.0,1,975.0,CZ,49.23
22333,RETRO SPORT PARTY BAG + STICKER SET,474,695.6999999999999,6,10037.0,AY,4.72
16202B,PASTEL BLUE PHOTO ALBUM,472,144.48000000000002,4,1039.0,CZ,45.43
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,470,334.22,12,17166.0,AZ,2.74
22386,JUMBO BAG PINK POLKADOT,461,826.03,17,39466.0,AX,1.17
21212,PACK OF 72 RETROSPOT CAKE CASES,461,239.64,18,94972.0,AX,0.49
82482,WOODEN PICTURE FRAME WHITE FINISH,460,1068.15,30,16959.0,AX,2.71
22083,PAPER CHAIN KIT RETRO SPOT,460,1197.0,6,13763.0,AY,3.34
79323LP,LIGHT PINK CHERRY LIGHTS,458,2702.8,60,1433.0,AZ,31.96
22332,SKULLS PARTY BAG + STICKER SET,458,669.3,6,4159.0,AZ,11.01
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,458,679.24,9,1560.0,AZ,29.36
79341,WILLOW BRANCH LIGHTS.,448,2519.6000000000004,24,725.0,AZ,61.79
23207,LUNCH BAG ALPHABET DESIGN,448,659.6,13,7851.0,AZ,5.71
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,448,1185.6,17,18649.0,AZ,2.4
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,441,791.52,22,27342.0,AX,1.61
84927D,LA PALMIERA TILE HOOK,435,40.86000000000001,3,954.0,CZ,45.6
23057,BEADED CHANDELIER T-LIGHT HOLDER,433,636.15,6,776.0,BZ,55.8
23055,IVORY CHANDELIER T-LIGHT HOLDER,432,690.72,5,658.0,BZ,65.65
22570,FELTCRAFT CUSHION RABBIT,431,1464.33,6,5639.0,AY,7.64
22197,POPCORN HOLDER,427,329.41,36,88537.0,AY,0.48
22385,JUMBO BAG SPACEBOY DESIGN,426,725.44,12,17064.0,AY,2.5
21733,RED HANGING HEART T-LIGHT HOLDER,424,1105.2,36,17614.0,AY,2.41
22561,WOODEN SCHOOL COLOURING SET,422,631.5,12,11647.0,AY,3.62
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,421,304.81,3,5591.0,AZ,7.53
22090,PAPER BUNTING RETRO SPOTS,418,1073.1,3,16708.0,AY,2.5
84992,72 SWEETHEART FAIRY CAKE CASES,410,175.33,7,35126.0,AY,1.17
22139,RETRO SPOT TEA SET CERAMIC 11 PC,410,1779.6,29,10635.0,AY,3.86
22835,HOT WATER BOTTLE I AM SO POORLY,408,1744.8,11,5342.0,AZ,7.64
21439,BASKET OF TOADSTOOLS,408,432.48,1,2260.0,BZ,18.05
20666,ECONOMY HOLIDAY PURSE,400,68.0,1,911.0,CZ,43.91
20715,LITTLE FLOWER SHOPPER BAG,400,424.0,1,400.0,CZ,100.0
84466,TOP SECRET PEN SET,397,391.85,8,1259.0,BZ,31.53
22470,HEART OF WICKER LARGE,396,1028.7,22,17816.0,AY,2.22
22585,PACK OF 6 BIRDY GIFT TAGS,394,442.90999999999997,13,17584.0,AY,2.24
21931,JUMBO STORAGE BAG SUKI,390,710.63,34,29196.0,AX,1.34
84925D,LA PALMIERA WALL THERMOMETER,372,93.0,1,452.0,CZ,82.3
22197,SMALL POPCORN HOLDER,363,276.18,49,88537.0,AY,0.41
84978,HANGING HEART JAR T-LIGHT HOLDER,361,417.72,51,21773.0,AX,1.66
22568,FELTCRAFT CUSHION OWL,356,1213.3200000000002,10,5486.0,AY,6.49
84991,60 TEATIME FAIRY CAKE CASES,350,187.95,14,54205.0,AX,0.65
22959,WRAP CHRISTMAS VILLAGE,350,147.0,5,9788.0,BZ,3.58
51008,AFGHAN SLIPPER SOCK PAIR,349,1054.05,5,2604.0,AZ,13.4
22489,PACK OF 12 TRADITIONAL CRAYONS,348,128.88,8,17942.0,AY,1.94
22569,FELTCRAFT CUSHION BUTTERFLY,345,1170.63,5,5529.0,AY,6.24
22191,IVORY DINER WALL CLOCK,345,2662.2,17,1975.0,AZ,17.47
22961,JAM MAKING SET PRINTED,344,444.59999999999997,14,17267.0,AY,1.99
22804,CANDLEHOLDER PINK HANGING HEART,340,875.0,8,5277.0,AZ,6.44
22659,LUNCH BOX I LOVE LONDON,336,573.0,21,15959.0,AY,2.11
20725,LUNCH BAG RED SPOTTY,335,493.35,28,40505.0,AX,0.83
20661,BLUE POLKADOT PURSE,330,139.5,2,899.0,CZ,36.71
21135,VICTORIAN  METAL POSTCARD SPRING,328,182.8,6,6027.0,AZ,5.44
51014C,"FEATHER PEN,COAL BLACK",326,182.34,7,4293.0,BY,7.59
22101,MIRROR MOSAIC VOTIVE HOLDER,325,128.46,2,1909.0,BZ,17.02
16202A,PASTEL PINK PHOTO ALBUM,324,97.8,3,663.0,CZ,48.87
71459,HANGING JAM JAR T-LIGHT HOLDER,324,254.73000000000002,34,33109.0,AY,0.98
21231,SWEETHEART CERAMIC TRINKET BOX,323,388.93,73,19523.0,AY,1.65
22904,CALENDAR PAPER CUT DESIGN,322,885.9,3,3483.0,AZ,9.24
22903,CALENDAR FAMILY FAVOURITES,320,880.0,2,745.0,BZ,42.95
84946,ANTIQUE SILVER T-LIGHT GLASS,316,349.21,23,36841.0,AX,0.86
15056P,EDWARDIAN PARASOL PINK,313,1091.05,9,2522.0,AZ,12.41
85099C,JUMBO  BAG BAROQUE BLACK WHITE,313,570.88,26,30733.0,AX,1.02
20670,VIP HOLIDAY PURSE,312,86.4,3,694.0,CZ,44.96
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",307,221.82,4,20026.0,AX,1.53
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,307,168.49,5,3120.0,CZ,9.84
22271,FELTCRAFT DOLL ROSIE,304,839.2,7,4887.0,AY,6.22
22630,DOLLY GIRL LUNCH BOX,302,531.0,20,18087.0,AY,1.67
85178,VICTORIAN SEWING KIT,301,337.85,6,5483.0,AZ,5.49
22924,FRIDGE MAGNETS LA VIE EN ROSE,301,240.25,6,1518.0,BZ,19.83
21987,PACK OF 6 SKULL PAPER CUPS,301,138.05,4,6421.0,BZ,4.69
22070,SMALL RED RETROSPOT MUG IN BOX,301,355.29,8,1840.0,AZ,16.36
22944,CHRISTMAS METAL POSTCARD WITH BELLS,301,311.21,3,4882.0,BZ,6.17
20733,GOLD MINI TAPE MEASURE,300,216.0,1,1929.0,BZ,15.55
90167,BEADED LOVE HEART JEWELLERY SET,300,217.56,2,2197.0,BZ,13.65
20662,FIRST CLASS HOLIDAY PURSE,300,51.0,1,728.0,CZ,41.21
82580,BATHROOM METAL SIGN,295,129.49,9,13273.0,AY,2.22
22467,GUMBALL COAT RACK,294,665.55,65,11954.0,AY,2.46
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,292,571.8000000000001,2,1770.0,BZ,16.5
79191C,RETRO PLASTIC ELEPHANT TRAY,289,245.64999999999998,25,1622.0,BZ,17.82
21829,DINOSAUR KEYRINGS ASSORTED,289,60.69,5,15167.0,BY,1.91
20969,RED FLORAL FELTCRAFT SHOULDER BAG,289,980.07,3,3241.0,AZ,8.92
85017C,ENVELOPE 50 CURIOUS IMAGES,288,120.96,1,1092.0,CZ,26.37
22574,HEART WOODEN CHRISTMAS DECORATION,288,219.84,2,5078.0,AZ,5.67
22071,SMALL WHITE RETROSPOT MUG IN BOX,288,188.0,7,1536.0,AZ,18.75
22551,PLASTERS IN TIN SPACEBOY,287,435.15,18,15476.0,AY,1.85
82483,WOOD 2 DRAWER CABINET WHITE FINISH,286,1698.7,88,4909.0,AX,5.83
47566,PARTY BUNTING,285,1238.55,23,28216.0,AY,1.01
20914,SET/5 RED SPOTTY LID GLASS BOWLS,284,741.8000000000001,43,18697.0,AX,1.52
85099F,JUMBO BAG STRAWBERRY,283,512.24,26,37113.0,AX,0.76
22492,MINI PAINT SET VINTAGE,281,182.64999999999998,14,43618.0,AY,0.64
22469,HEART OF WICKER SMALL,281,424.65,19,27932.0,AY,1.01
22199,FRYING PAN RED POLKADOT,275,1032.75,5,1829.0,AZ,15.04
22297,HEART IVORY TRELLIS SMALL,275,343.75,6,13825.0,AY,1.99
22493,PAINT YOUR OWN CANVAS SET,274,398.1,5,4750.0,AZ,5.77
21929,JUMBO BAG PINK VINTAGE PAISLEY,272,483.96999999999997,21,25625.0,AY,1.06
23343,JUMBO BAG VINTAGE CHRISTMAS,271,505.68,7,6081.0,AZ,4.46
22945,CHRISTMAS METAL TAGS ASSORTED,270,210.78,7,7659.0,AZ,3.53
22356,CHARLOTTE BAG PINK POLKADOT,268,203.23,19,20026.0,AX,1.34
21642,ASSORTED TUTTI FRUTTI PEN,266,172.34,15,4418.0,BZ,6.02
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,265,479.58000000000004,8,24305.0,AX,1.09
85232B,SET OF 3 BABUSHKA STACKING TINS,263,1297.6499999999999,10,3090.0,AZ,8.51
23344,JUMBO BAG 50'S CHRISTMAS,262,486.96,7,10306.0,AZ,2.54
20952,PORCELAIN CHERUB BELL SMALL,260,119.16,2,330.0,CZ,78.79
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,256,274.4,8,2950.0,BZ,8.68
37449,CERAMIC CAKE STAND + HANGING CAKES,255,2234.15,71,2385.0,AY,10.69
22382,LUNCH BAG SPACEBOY DESIGN,253,387.25,20,20318.0,AX,1.25
20713,JUMBO BAG OWLS,252,448.98,12,20843.0,AY,1.21
22313,OFFICE MUG WARMER PINK,252,647.4,2,986.0,BZ,25.56
20712,JUMBO BAG WOODLAND ANIMALS,251,447.61,18,17731.0,AY,1.42
22464,HANGING METAL HEART LANTERN,250,378.9,26,7937.0,AY,3.15
22047,EMPIRE GIFT WRAP,250,89.0,3,8300.0,BY,3.01
79323B,BLACK CHERRY LIGHTS,248,1557.2,51,243.0,BZ,102.06
22960,JAM MAKING SET WITH JARS,247,1012.79,87,9030.0,AY,2.74
22907,PACK OF 20 NAPKINS PANTRY DESIGN,244,167.07999999999998,7,8704.0,AY,2.8
22617,BAKING SET SPACEBOY DESIGN,243,1147.55,67,4256.0,AY,5.71
23202,JUMBO BAG VINTAGE LEAF,242,442.46000000000004,6,10962.0,AZ,2.21
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,241,232.25,2,692.0,BZ,34.83
23157,SET OF 6 NATIVITY MAGNETS,240,444.0,1,2570.0,AZ,9.34
22951,60 CAKE CASES DOLLY GIRL DESIGN,240,116.39999999999999,6,11032.0,AY,2.18
21155,RED RETROSPOT PEG BAG,239,512.7,14,6673.0,AY,3.58
79000,MOROCCAN TEA GLASS,238,171.89999999999998,14,12033.0,AY,1.98
22666,RECIPE BOX PANTRY YELLOW DESIGN,237,655.55,63,10727.0,AY,2.21
22922,FRIDGE MAGNETS US DINER ASSORTED,234,183.3,5,2073.0,BZ,11.29
22027,TEA PARTY BIRTHDAY CARD,228,87.12,7,11369.0,AX,2.01
20724,RED RETROSPOT CHARLOTTE BAG,226,172.73,19,32241.0,AX,0.7
21499,BLUE POLKADOT WRAP,225,82.5,2,15052.0,AX,1.49
21916,SET 12 RETRO WHITE CHALK STICKS,225,94.5,5,11039.0,AY,2.04
23284,DOORMAT KEEP CALM AND COME IN,225,1601.25,7,5491.0,AZ,4.1
21136,PAINTED METAL PEARS ASSORTED,225,329.36999999999995,4,10526.0,AY,2.14
21735,TWO DOOR CURIO CABINET,224,2535.6,38,853.0,AZ,26.26
22752,SET 7 BABUSHKA NESTING BOXES,224,1761.1999999999998,25,3467.0,AZ,6.46
22698,PINK REGENCY TEACUP AND SAUCER,221,607.95,48,8231.0,AY,2.68
22114,HOT WATER BOTTLE TEA AND SYMPATHY,220,795.2,13,11715.0,AY,1.88
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,219,251.39,9,10412.0,AY,2.1
21098,CHRISTMAS TOILET ROLL,219,246.39,6,8562.0,AZ,2.56
21977,PACK OF 60 PINK PAISLEY CAKE CASES,219,117.3,11,56230.0,AX,0.39
20840,FRENCH FLORAL CUSHION COVER,219,365.85,3,885.0,BZ,24.75
84406B,CREAM CUPID HEARTS COAT HANGER,218,663.1,12,7134.0,AY,3.06
22111,SCOTTIE DOG HOT WATER BOTTLE,217,936.65,15,9827.0,AY,2.21
22156,HEART DECORATION WITH PEARLS,217,183.41,27,6244.0,AY,3.48
20984,12 PENCILS TALL TUBE POSY,216,44.760000000000005,3,5899.0,BZ,3.66
22900,SET 2 TEA TOWELS I LOVE LONDON,216,552.5999999999999,11,6176.0,AZ,3.5
22834,HAND WARMER BABUSHKA DESIGN,215,331.25,8,6933.0,AZ,3.1
15056BL,EDWARDIAN PARASOL BLACK,213,1071.3500000000001,12,9666.0,AZ,2.2
21154,RED RETROSPOT OVEN GLOVE,213,228.25,5,8099.0,AY,2.63
20979,36 PENCILS TUBE RED RETROSPOT,210,262.5,20,8162.0,AY,2.57
22418,10 COLOUR SPACEBOY PEN,208,176.79999999999998,10,12316.0,AY,1.69
21868,POTTING SHED TEA MUG,207,250.39,29,9095.0,AY,2.28
84692,BOX OF 24 COCKTAIL PARASOLS,207,86.94,8,19122.0,AX,1.08
85118,HEART T-LIGHT HOLDER,207,98.67,11,2062.0,CZ,10.04
47599B,BLUE PARTY BAGS,206,343.96,4,3493.0,AY,5.9
21035,SET/2 RED RETROSPOT TEA TOWELS,205,564.75,3,6006.0,AY,3.41
35924,HANGING FAIRY CAKE DECORATION,205,347.68,11,2167.0,BZ,9.46
22154,ANGEL DECORATION 3 BUTTONS,204,85.67999999999999,14,7219.0,BZ,2.83
51014L,"FEATHER PEN,LIGHT PINK",204,167.88,4,3457.0,BY,5.9
21790,VINTAGE SNAP CARDS,203,162.67,13,27282.0,AY,0.74
23210,WHITE ROCKING HORSE HAND PAINTED,200,219.76,4,2902.0,BZ,6.89
21112,"SWISS ROLL TOWEL, PINK  SPOTS",198,507.29999999999995,3,2222.0,AZ,8.91
21479,WHITE SKULL HOT WATER BOTTLE,196,677.1800000000001,8,6234.0,AZ,3.14
51014A,"FEATHER PEN,HOT PINK",195,165.75,4,6719.0,AY,2.9
22588,CARD HOLDER GINGHAM HEART,195,411.87,3,2860.0,AZ,6.82
79323GR,GREEN CHERRY LIGHTS,194,1168.5,37,532.0,BZ,36.47
10138,ASSORTED COLOUR JUMBO PEN,194,81.9,4,261.0,CZ,74.33
84927E,FLOWERS TILE HOOK,194,19.56,2,494.0,CZ,39.27
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,193,232.25,3,895.0,BZ,21.56
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,192,576.0,1,547.0,BZ,35.1
23205,CHARLOTTE BAG VINTAGE ALPHABET,191,140.25,8,5859.0,AZ,3.26
21833,CAMOUFLAGE LED TORCH,190,297.5,10,6245.0,AY,3.04
22791,T-LIGHT GLASS FLUTED ANTIQUE,190,209.0,12,9534.0,AY,1.99
47590A,BLUE HAPPY BIRTHDAY BUNTING,188,887.8,9,4756.0,AY,3.95
20723,STRAWBERRY CHARLOTTE BAG,187,157.78,23,18340.0,AX,1.02
79323G,GOLD  CHERRY LIGHTS,187,1118.45,26,314.0,BZ,59.55
22360,GLASS JAR ENGLISH CONFECTIONERY,186,521.5,39,2514.0,AY,7.4
23204,CHARLOTTE BAG APPLES DESIGN,186,138.34,8,7976.0,AZ,2.33
22697,GREEN REGENCY TEACUP AND SAUCER,184,506.8,58,9830.0,AY,1.87
23004,TRAVEL CARD WALLET PANTRY,184,77.28,4,2011.0,CZ,9.15
22130,PARTY CONE CHRISTMAS DECORATION,183,136.70000000000002,8,9791.0,AZ,1.87
22584,PACK OF 6 PANNETONE GIFT BOXES,183,390.15,4,5236.0,AY,3.5
21950,SET OF 6 DOTS CHOPSTICKS,181,192.05,2,211.0,CZ,85.78
