sku_a,product_a,sku_b,product_b,support,confidence,lift,strength,co_stock_rule,class_a
22556,PLASTERS IN TIN CIRCUS PARADE,22554,PLASTERS IN TIN WOODLAND ANIMALS,0.0159,0.4465,11.733,very strong,1,AY
22554,PLASTERS IN TIN WOODLAND ANIMALS,22556,PLASTERS IN TIN CIRCUS PARADE,0.0159,0.4188,11.733,very strong,1,AY
22356,CHARLOTTE BAG PINK POLKADOT,20723,STRAWBERRY CHARLOTTE BAG,0.0219,0.4634,11.2586,very strong,1,AX
20723,STRAWBERRY CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,0.0219,0.5323,11.2586,very strong,1,AX
20724,RED RETROSPOT CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,0.0321,0.5292,11.1945,very strong,1,AX
22356,CHARLOTTE BAG PINK POLKADOT,20724,RED RETROSPOT CHARLOTTE BAG,0.0321,0.6799,11.1945,very strong,1,AX
21080,SET/20 RED RETROSPOT PAPER NAPKINS,21094,SET/6 RED SPOTTY PAPER PLATES,0.0204,0.3233,11.0071,very strong,1,AX
21094,SET/6 RED SPOTTY PAPER PLATES,21080,SET/20 RED RETROSPOT PAPER NAPKINS,0.0204,0.6961,11.0071,very strong,1,AY
20719,WOODLAND CHARLOTTE BAG,20723,STRAWBERRY CHARLOTTE BAG,0.0207,0.4408,10.7109,very strong,1,AX
20723,STRAWBERRY CHARLOTTE BAG,20719,WOODLAND CHARLOTTE BAG,0.0207,0.5025,10.7109,very strong,1,AX
20723,STRAWBERRY CHARLOTTE BAG,20724,RED RETROSPOT CHARLOTTE BAG,0.0267,0.6497,10.6977,very strong,1,AX
20724,RED RETROSPOT CHARLOTTE BAG,20723,STRAWBERRY CHARLOTTE BAG,0.0267,0.4403,10.6977,very strong,1,AX
22138,BAKING SET 9 PIECE RETROSPOT,22617,BAKING SET SPACEBOY DESIGN,0.017,0.3001,10.6855,very strong,1,AY
22617,BAKING SET SPACEBOY DESIGN,22138,BAKING SET 9 PIECE RETROSPOT,0.017,0.6047,10.6855,very strong,1,AY
21080,SET/20 RED RETROSPOT PAPER NAPKINS,21086,SET/6 RED SPOTTY PAPER CUPS,0.0166,0.2629,10.4722,very strong,1,AX
21086,SET/6 RED SPOTTY PAPER CUPS,21080,SET/20 RED RETROSPOT PAPER NAPKINS,0.0166,0.6623,10.4722,very strong,1,AY
21791,VINTAGE HEADS AND TAILS CARD GAME,21790,VINTAGE SNAP CARDS,0.0229,0.5838,10.3775,very strong,1,AY
21790,VINTAGE SNAP CARDS,21791,VINTAGE HEADS AND TAILS CARD GAME,0.0229,0.4064,10.3775,very strong,1,AY
20723,STRAWBERRY CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,0.0221,0.5373,10.3768,very strong,1,AX
22355,CHARLOTTE BAG SUKI DESIGN,20723,STRAWBERRY CHARLOTTE BAG,0.0221,0.4271,10.3768,very strong,1,AX
21231,SWEETHEART CERAMIC TRINKET BOX,21232,STRAWBERRY CERAMIC TRINKET BOX,0.0331,0.7493,10.3488,very strong,1,AY
21232,STRAWBERRY CERAMIC TRINKET BOX,21231,SWEETHEART CERAMIC TRINKET BOX,0.0331,0.4571,10.3488,very strong,1,AX
22355,CHARLOTTE BAG SUKI DESIGN,20719,WOODLAND CHARLOTTE BAG,0.025,0.483,10.2944,very strong,1,AX
20719,WOODLAND CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,0.025,0.5331,10.2944,very strong,1,AX
20719,WOODLAND CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,0.0228,0.486,10.2801,very strong,1,AX
22356,CHARLOTTE BAG PINK POLKADOT,20719,WOODLAND CHARLOTTE BAG,0.0228,0.4823,10.2801,very strong,1,AX
21928,JUMBO BAG SCANDINAVIAN PAISLEY,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0226,0.4922,10.2302,very strong,1,AX
21929,JUMBO BAG PINK VINTAGE PAISLEY,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0226,0.4696,10.2302,very strong,1,AY
22355,CHARLOTTE BAG SUKI DESIGN,22356,CHARLOTTE BAG PINK POLKADOT,0.0249,0.4801,10.1555,very strong,1,AX
22356,CHARLOTTE BAG PINK POLKADOT,22355,CHARLOTTE BAG SUKI DESIGN,0.0249,0.5259,10.1555,very strong,1,AX
22086,PAPER CHAIN KIT 50'S CHRISTMAS,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.025,0.4195,9.9121,strong,1,AZ
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,22086,PAPER CHAIN KIT 50'S CHRISTMAS,0.025,0.5917,9.9121,strong,1,AZ
20724,RED RETROSPOT CHARLOTTE BAG,20719,WOODLAND CHARLOTTE BAG,0.0276,0.455,9.6985,strong,1,AX
20719,WOODLAND CHARLOTTE BAG,20724,RED RETROSPOT CHARLOTTE BAG,0.0276,0.5891,9.6985,strong,1,AX
22112,CHOCOLATE HOT WATER BOTTLE,22114,HOT WATER BOTTLE TEA AND SYMPATHY,0.0232,0.453,9.6185,strong,1,AY
22114,HOT WATER BOTTLE TEA AND SYMPATHY,22112,CHOCOLATE HOT WATER BOTTLE,0.0232,0.4918,9.6185,strong,1,AY
21175,GIN + TONIC DIET METAL SIGN,21166,COOK WITH WINE METAL SIGN,0.0196,0.3973,9.3753,strong,1,AY
21166,COOK WITH WINE METAL SIGN,21175,GIN + TONIC DIET METAL SIGN,0.0196,0.4634,9.3753,strong,1,AY
21975,PACK OF 60 DINOSAUR CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.0157,0.404,9.2775,strong,1,AY
84992,72 SWEETHEART FAIRY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.0157,0.3605,9.2775,strong,1,AY
20713,JUMBO BAG OWLS,20712,JUMBO BAG WOODLAND ANIMALS,0.0152,0.3903,9.2754,strong,1,AY
20712,JUMBO BAG WOODLAND ANIMALS,20713,JUMBO BAG OWLS,0.0152,0.361,9.2754,strong,1,AY
20724,RED RETROSPOT CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,0.0287,0.4717,9.11,strong,1,AX
22355,CHARLOTTE BAG SUKI DESIGN,20724,RED RETROSPOT CHARLOTTE BAG,0.0287,0.5533,9.11,strong,1,AX
82494L,WOODEN FRAME ANTIQUE WHITE,82482,WOODEN PICTURE FRAME WHITE FINISH,0.0332,0.5421,9.0859,strong,1,AX
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE,0.0332,0.5573,9.0859,strong,1,AX
85152,HAND OVER THE CHOCOLATE   SIGN,21166,COOK WITH WINE METAL SIGN,0.0164,0.3773,8.9029,strong,1,AY
21166,COOK WITH WINE METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN,0.0164,0.3866,8.9029,strong,1,AY
21213,PACK OF 72 SKULL CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.015,0.3406,8.7637,strong,1,AY
21975,PACK OF 60 DINOSAUR CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.015,0.3863,8.7637,strong,1,AY
22382,LUNCH BAG SPACEBOY DESIGN,22662,LUNCH BAG DOLLY GIRL DESIGN,0.0164,0.2555,8.6194,strong,1,AX
22662,LUNCH BAG DOLLY GIRL DESIGN,22382,LUNCH BAG SPACEBOY DESIGN,0.0164,0.5539,8.6194,strong,1,AY
22111,SCOTTIE DOG HOT WATER BOTTLE,21485,RETROSPOT HEART HOT WATER BOTTLE,0.0175,0.3494,8.4641,strong,1,AY
21485,RETROSPOT HEART HOT WATER BOTTLE,22111,SCOTTIE DOG HOT WATER BOTTLE,0.0175,0.4252,8.4641,strong,1,AY
21754,HOME BUILDING BLOCK WORD,21755,LOVE BUILDING BLOCK WORD,0.0258,0.4202,8.3205,strong,1,AX
21755,LOVE BUILDING BLOCK WORD,21754,HOME BUILDING BLOCK WORD,0.0258,0.5118,8.3205,strong,1,AX
84991,60 TEATIME FAIRY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.0201,0.3166,8.1461,strong,1,AX
21975,PACK OF 60 DINOSAUR CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.0201,0.5169,8.1461,strong,1,AY
85152,HAND OVER THE CHOCOLATE   SIGN,21175,GIN + TONIC DIET METAL SIGN,0.0174,0.4,8.093,strong,1,AY
21175,GIN + TONIC DIET METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN,0.0174,0.3514,8.093,strong,1,AY
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,0.0299,0.4675,8.0456,strong,1,AY
22470,HEART OF WICKER LARGE,22469,HEART OF WICKER SMALL,0.0299,0.5141,8.0456,strong,1,AY
84992,72 SWEETHEART FAIRY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.0218,0.5017,7.9068,strong,1,AY
84991,60 TEATIME FAIRY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.0218,0.3443,7.9068,strong,1,AX
21166,COOK WITH WINE METAL SIGN,21181,PLEASE ONE PERSON METAL SIGN,0.0174,0.4113,7.6723,strong,1,AY
21181,PLEASE ONE PERSON METAL SIGN,21166,COOK WITH WINE METAL SIGN,0.0174,0.3252,7.6723,strong,1,AY
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.0175,0.2947,7.5831,strong,1,AX
21975,PACK OF 60 DINOSAUR CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.0175,0.4508,7.5831,strong,1,AY
21930,JUMBO STORAGE BAG SKULLS,21931,JUMBO STORAGE BAG SUKI,0.0205,0.5224,7.5249,strong,1,AX
21931,JUMBO STORAGE BAG SUKI,21930,JUMBO STORAGE BAG SKULLS,0.0205,0.2958,7.5249,strong,1,AX
22386,JUMBO BAG PINK POLKADOT,22385,JUMBO BAG SPACEBOY DESIGN,0.0186,0.278,7.4755,strong,1,AX
22385,JUMBO BAG SPACEBOY DESIGN,22386,JUMBO BAG PINK POLKADOT,0.0186,0.5,7.4755,strong,1,AY
84991,60 TEATIME FAIRY CAKE CASES,22417,PACK OF 60 SPACEBOY CAKE CASES,0.0155,0.2446,7.4365,strong,1,AX
22417,PACK OF 60 SPACEBOY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.0155,0.4719,7.4365,strong,1,AY
84992,72 SWEETHEART FAIRY CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.019,0.4366,7.3435,strong,1,AY
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.019,0.3198,7.3435,strong,1,AX
20711,JUMBO BAG TOYS,21931,JUMBO STORAGE BAG SUKI,0.016,0.5095,7.3392,strong,1,AY
21931,JUMBO STORAGE BAG SUKI,20711,JUMBO BAG TOYS,0.016,0.2304,7.3392,strong,1,AX
21175,GIN + TONIC DIET METAL SIGN,21181,PLEASE ONE PERSON METAL SIGN,0.0194,0.3931,7.3337,strong,1,AY
21181,PLEASE ONE PERSON METAL SIGN,21175,GIN + TONIC DIET METAL SIGN,0.0194,0.3625,7.3337,strong,1,AY
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.0276,0.4649,7.326,strong,1,AX
84991,60 TEATIME FAIRY CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.0276,0.4356,7.326,strong,1,AX
22112,CHOCOLATE HOT WATER BOTTLE,22111,SCOTTIE DOG HOT WATER BOTTLE,0.0185,0.3619,7.2054,strong,1,AY
22111,SCOTTIE DOG HOT WATER BOTTLE,22112,CHOCOLATE HOT WATER BOTTLE,0.0185,0.3684,7.2054,strong,1,AY
22385,JUMBO BAG SPACEBOY DESIGN,21931,JUMBO STORAGE BAG SUKI,0.0186,0.5,7.2023,strong,1,AY
21931,JUMBO STORAGE BAG SUKI,22385,JUMBO BAG SPACEBOY DESIGN,0.0186,0.2678,7.2023,strong,1,AX
21931,JUMBO STORAGE BAG SUKI,20713,JUMBO BAG OWLS,0.0194,0.279,7.1691,strong,1,AX
20713,JUMBO BAG OWLS,21931,JUMBO STORAGE BAG SUKI,0.0194,0.4977,7.1691,strong,1,AY
22384,LUNCH BAG PINK POLKADOT,20728,LUNCH BAG CARS BLUE,0.0269,0.4284,6.9571,strong,1,AX
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,0.0269,0.4363,6.9571,strong,1,AY
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,0.0245,0.4277,6.9459,strong,1,AY
20728,LUNCH BAG CARS BLUE,20726,LUNCH BAG WOODLAND,0.0245,0.3984,6.9459,strong,1,AY
20712,JUMBO BAG WOODLAND ANIMALS,21931,JUMBO STORAGE BAG SUKI,0.0202,0.4794,6.906,strong,1,AY
21931,JUMBO STORAGE BAG SUKI,20712,JUMBO BAG WOODLAND ANIMALS,0.0202,0.2906,6.906,strong,1,AX
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0207,0.3169,6.9035,strong,1,AX
21928,JUMBO BAG SCANDINAVIAN PAISLEY,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0207,0.4512,6.9035,strong,1,AX
21181,PLEASE ONE PERSON METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN,0.0159,0.2973,6.8467,strong,1,AY
85152,HAND OVER THE CHOCOLATE   SIGN,21181,PLEASE ONE PERSON METAL SIGN,0.0159,0.367,6.8467,strong,1,AY
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099F,JUMBO BAG STRAWBERRY,0.018,0.3734,6.7489,strong,1,AY
85099F,JUMBO BAG STRAWBERRY,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.018,0.3247,6.7489,strong,1,AX
22382,LUNCH BAG SPACEBOY DESIGN,20726,LUNCH BAG WOODLAND,0.0248,0.3864,6.7365,strong,1,AX
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN,0.0248,0.4329,6.7365,strong,1,AY
85099C,JUMBO  BAG BAROQUE BLACK WHITE,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0171,0.3064,6.6743,strong,1,AX
21928,JUMBO BAG SCANDINAVIAN PAISLEY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0171,0.3719,6.6743,strong,1,AX
22386,JUMBO BAG PINK POLKADOT,21930,JUMBO STORAGE BAG SKULLS,0.0175,0.2619,6.6638,strong,1,AX
21930,JUMBO STORAGE BAG SKULLS,22386,JUMBO BAG PINK POLKADOT,0.0175,0.4457,6.6638,strong,1,AX
22382,LUNCH BAG SPACEBOY DESIGN,22383,LUNCH BAG SUKI  DESIGN,0.0306,0.4761,6.6546,strong,1,AX
22383,LUNCH BAG SUKI  DESIGN,22382,LUNCH BAG SPACEBOY DESIGN,0.0306,0.4276,6.6546,strong,1,AX
84991,60 TEATIME FAIRY CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.0184,0.2902,6.5834,strong,1,AX
21213,PACK OF 72 SKULL CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.0184,0.4177,6.5834,strong,1,AY
21928,JUMBO BAG SCANDINAVIAN PAISLEY,85099F,JUMBO BAG STRAWBERRY,0.0167,0.3635,6.5683,strong,1,AX
85099F,JUMBO BAG STRAWBERRY,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0167,0.3015,6.5683,strong,1,AX
21212,PACK OF 72 RETROSPOT CAKE CASES,21976,PACK OF 60 MUSHROOM CAKE CASES,0.0173,0.1858,6.5534,strong,1,AX
21976,PACK OF 60 MUSHROOM CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0173,0.6095,6.5534,strong,1,AY
21929,JUMBO BAG PINK VINTAGE PAISLEY,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0204,0.4249,6.5012,strong,1,AY
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0204,0.3128,6.5012,strong,1,AX
22384,LUNCH BAG PINK POLKADOT,20727,LUNCH BAG  BLACK SKULL.,0.0285,0.4541,6.4877,strong,1,AX
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,0.0285,0.4068,6.4877,strong,1,AY
22383,LUNCH BAG SUKI  DESIGN,20728,LUNCH BAG CARS BLUE,0.0281,0.393,6.3825,strong,1,AX
20728,LUNCH BAG CARS BLUE,22383,LUNCH BAG SUKI  DESIGN,0.0281,0.4566,6.3825,strong,1,AY
22386,JUMBO BAG PINK POLKADOT,20712,JUMBO BAG WOODLAND ANIMALS,0.0177,0.2651,6.2985,strong,1,AX
20712,JUMBO BAG WOODLAND ANIMALS,22386,JUMBO BAG PINK POLKADOT,0.0177,0.4213,6.2985,strong,1,AY
21212,PACK OF 72 RETROSPOT CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.0257,0.2766,6.2754,strong,1,AX
21213,PACK OF 72 SKULL CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0257,0.5836,6.2754,strong,1,AY
22386,JUMBO BAG PINK POLKADOT,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0192,0.2874,6.2603,strong,1,AX
21928,JUMBO BAG SCANDINAVIAN PAISLEY,22386,JUMBO BAG PINK POLKADOT,0.0192,0.4187,6.2603,strong,1,AX
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,22385,JUMBO BAG SPACEBOY DESIGN,0.0152,0.2324,6.2498,strong,1,AX
22385,JUMBO BAG SPACEBOY DESIGN,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0152,0.4085,6.2498,strong,1,AY
22384,LUNCH BAG PINK POLKADOT,20726,LUNCH BAG WOODLAND,0.0225,0.3584,6.2478,strong,1,AX
20726,LUNCH BAG WOODLAND,22384,LUNCH BAG PINK POLKADOT,0.0225,0.3918,6.2478,strong,1,AY
22384,LUNCH BAG PINK POLKADOT,22382,LUNCH BAG SPACEBOY DESIGN,0.0251,0.4008,6.2367,strong,1,AX
22382,LUNCH BAG SPACEBOY DESIGN,22384,LUNCH BAG PINK POLKADOT,0.0251,0.3911,6.2367,strong,1,AX
85099F,JUMBO BAG STRAWBERRY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.0192,0.3463,6.2143,strong,1,AX
85099C,JUMBO  BAG BAROQUE BLACK WHITE,85099F,JUMBO BAG STRAWBERRY,0.0192,0.3439,6.2143,strong,1,AX
21975,PACK OF 60 DINOSAUR CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.0224,0.5776,6.2104,strong,1,AY
21212,PACK OF 72 RETROSPOT CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.0224,0.2413,6.2104,strong,1,AX
22382,LUNCH BAG SPACEBOY DESIGN,20728,LUNCH BAG CARS BLUE,0.0245,0.3809,6.1856,strong,1,AX
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN,0.0245,0.3975,6.1856,strong,1,AY
20727,LUNCH BAG  BLACK SKULL.,20726,LUNCH BAG WOODLAND,0.0246,0.3518,6.1329,strong,1,AY
20726,LUNCH BAG WOODLAND,20727,LUNCH BAG  BLACK SKULL.,0.0246,0.4292,6.1329,strong,1,AY
22386,JUMBO BAG PINK POLKADOT,85099F,JUMBO BAG STRAWBERRY,0.0227,0.3391,6.1287,strong,1,AX
85099F,JUMBO BAG STRAWBERRY,22386,JUMBO BAG PINK POLKADOT,0.0227,0.4099,6.1287,strong,1,AX
